,Term,pval,padj,NES,Top_up,Top_down,Direction_up,Direction_down
"1,4-chrysenequinone-1773","1,4-chrysenequinone-1773",0.5345,0.9313519813519814,-0.39510369976282456,98.79518072289156,100.0,neg,neg
"1,4-chrysenequinone-7139","1,4-chrysenequinone-7139",0.0005,0.00840220385674931,-1.8758769646039117,100.0,0.0,neg,pos
"1,5-isoquinolinediol-543","1,5-isoquinolinediol-543",0.707,0.9313519813519814,0.1613728910981742,100.0,100.0,neg,neg
"11-deoxy-16,16-dimethylprostaglandin E2-7514","11-deoxy-16,16-dimethylprostaglandin E2-7514",0.8415,0.963278319579895,0.0790438278046508,100.0,100.0,neg,neg
"11-deoxy-16,16-dimethylprostaglandin E2-7519","11-deoxy-16,16-dimethylprostaglandin E2-7519",0.8935,0.9816912824207492,-0.05269209540808495,98.83720930232558,98.82352941176471,neg,neg
"11-deoxy-16,16-dimethylprostaglandin E2-7533","11-deoxy-16,16-dimethylprostaglandin E2-7533",0.2185,0.5567460317460318,0.9646283506684941,0.0,98.68421052631578,pos,neg
"11-deoxy-16,16-dimethylprostaglandin E2-7538","11-deoxy-16,16-dimethylprostaglandin E2-7538",0.001,0.009807073954983923,1.7479072183280588,0.0,100.0,pos,neg
"12,13-EODE-1108","12,13-EODE-1108",0.0025,0.019652061855670103,-1.564479941680112,100.0,0.0,neg,pos
"16,16-dimethylprostaglandin E2-6562","16,16-dimethylprostaglandin E2-6562",0.7335,0.9386091881686596,-0.14098016160499816,98.82352941176471,96.3855421686747,neg,neg
"16,16-dimethylprostaglandin E2-6592","16,16-dimethylprostaglandin E2-6592",0.739,0.9395344003325712,0.1371531850129737,97.5609756097561,100.0,neg,neg
"16,16-dimethylprostaglandin E2-6597","16,16-dimethylprostaglandin E2-6597",0.004,0.028143021914648212,-1.5326571167921685,98.87640449438202,0.0,neg,pos
"2,6-dimethylpiperidine-3806","2,6-dimethylpiperidine-3806",0.0625,0.19836108220603538,-1.1937810457081783,98.66666666666667,0.0,neg,pos
"2,6-dimethylpiperidine-3889","2,6-dimethylpiperidine-3889",0.01,0.05209222886421862,1.4454194725123344,0.0,100.0,pos,neg
"2,6-dimethylpiperidine-4363","2,6-dimethylpiperidine-4363",0.57,0.9313519813519814,-0.3139696713498665,98.80952380952381,100.0,neg,neg
"2,6-dimethylpiperidine-4543","2,6-dimethylpiperidine-4543",0.057,0.18845528455284552,1.2190249792238377,0.0,98.66666666666667,pos,neg
"2,6-dimethylpiperidine-6049","2,6-dimethylpiperidine-6049",0.559,0.9313519813519814,-0.3441443455239981,100.0,100.0,neg,neg
"4,5-dianilinophthalimide-578","4,5-dianilinophthalimide-578",0.6755,0.9313519813519814,-0.1856118609006291,100.0,98.85057471264368,neg,neg
"4,5-dianilinophthalimide-624","4,5-dianilinophthalimide-624",0.7955,0.9520404159309398,0.10301082679705126,98.86363636363636,100.0,neg,neg
(+)-chelidonine-1786,(+)-chelidonine-1786,0.5115,0.9313519813519814,-0.5534464716315787,100.0,100.0,neg,neg
(+)-chelidonine-2779,(+)-chelidonine-2779,0.5815,0.9313519813519814,-0.2978256215476696,100.0,100.0,neg,neg
(+)-chelidonine-5760,(+)-chelidonine-5760,0.6515,0.9313519813519814,-0.20846855271096448,100.0,98.68421052631578,neg,neg
(+)-chelidonine-6236,(+)-chelidonine-6236,0.001,0.009807073954983923,-1.7384136549456726,100.0,0.0,neg,pos
(+)-isoprenaline-3046,(+)-isoprenaline-3046,0.8535,0.9668245125348189,0.07231996949901887,100.0,97.5,neg,neg
(+)-isoprenaline-3384,(+)-isoprenaline-3384,0.6695,0.9313519813519814,0.1914545811299173,100.0,100.0,neg,neg
(+)-isoprenaline-5009,(+)-isoprenaline-5009,0.528,0.9313519813519814,-0.43079583504005564,100.0,100.0,neg,neg
(+)-isoprenaline-6663,(+)-isoprenaline-6663,0.0005,0.00840220385674931,1.7497201736674088,0.0,98.73417721518987,pos,neg
(+/-)-catechin-3012,(+/-)-catechin-3012,0.6735,0.9313519813519814,-0.18785145812486126,98.83720930232558,100.0,neg,neg
(+/-)-catechin-3351,(+/-)-catechin-3351,0.6455,0.9313519813519814,-0.21303407274280606,98.79518072289156,100.0,neg,neg
(+/-)-catechin-4255,(+/-)-catechin-4255,0.8915,0.9816912824207492,-0.05371416635276116,0.0,0.0,pos,pos
(+/-)-catechin-4837,(+/-)-catechin-4837,0.916,0.9909259915014165,-0.04340922740166453,97.61904761904762,98.79518072289156,neg,neg
(-)-MK-801-3081,(-)-MK-801-3081,0.002,0.017039106145251396,-1.5775677813754418,98.82352941176471,0.0,neg,pos
(-)-MK-801-5003,(-)-MK-801-5003,0.8305,0.9577656161539914,-0.08364868594489727,100.0,100.0,neg,neg
(-)-MK-801-6458,(-)-MK-801-6458,0.0005,0.00840220385674931,-1.9365344905542088,98.73417721518987,1.2048192771084338,neg,pos
(-)-MK-801-6657,(-)-MK-801-6657,0.9585,0.9961296893566457,0.02387117494183988,100.0,98.57142857142858,neg,neg
(-)-atenolol-3067,(-)-atenolol-3067,0.5645,0.9313519813519814,-0.33017073961288906,98.87640449438202,98.76543209876543,neg,neg
(-)-atenolol-5325,(-)-atenolol-5325,0.6045,0.9313519813519814,-0.26330795682000596,100.0,100.0,neg,neg
(-)-atenolol-6444,(-)-atenolol-6444,0.764,0.9464662875710804,-0.12276678835234123,100.0,100.0,neg,neg
(-)-atenolol-6725,(-)-atenolol-6725,0.636,0.9313519813519814,0.22244459065897504,0.0,1.3157894736842104,pos,pos
(-)-catechin-1101,(-)-catechin-1101,0.732,0.9386091881686596,-0.1425009674939367,100.0,98.79518072289156,neg,neg
(-)-isoprenaline-3571,(-)-isoprenaline-3571,0.939,0.9939449064449064,0.032865434579960606,0.0,0.0,pos,pos
(-)-isoprenaline-4495,(-)-isoprenaline-4495,0.6105,0.9313519813519814,-0.2562483376024759,100.0,100.0,neg,neg
(-)-isoprenaline-6149,(-)-isoprenaline-6149,0.995,0.9981180144641684,-0.0025820295248695224,100.0,100.0,neg,neg
(-)-isoprenaline-6833,(-)-isoprenaline-6833,0.1435,0.38715170278637767,-1.0546305143138865,98.83720930232558,0.0,neg,pos
0173570-0000-3690,0173570-0000-3690,0.819,0.9577656161539914,-0.09108190977655573,100.0,98.78048780487805,neg,neg
0173570-0000-3693,0173570-0000-3693,0.0125,0.05623156342182891,1.3797697490364655,0.0,98.71794871794873,pos,neg
0173570-0000-4712,0173570-0000-4712,0.001,0.009807073954983923,-1.6410715881659905,98.83720930232558,0.0,neg,pos
0173570-0000-4715,0173570-0000-4715,0.0305,0.11456280788177339,-1.2935610291989448,100.0,0.0,neg,pos
0173570-0000-7389,0173570-0000-7389,0.001,0.009807073954983923,-1.7121241277830719,100.0,1.1764705882352942,neg,pos
0173570-0000-7391,0173570-0000-7391,0.893,0.9816912824207492,0.05310359086537353,100.0,100.0,neg,neg
0175029-0000-3691,0175029-0000-3691,0.301,0.7439627228525122,0.8800324947115712,0.0,100.0,pos,neg
0175029-0000-3694,0175029-0000-3694,0.042,0.14758064516129035,-1.259294887116965,100.0,0.0,neg,pos
0175029-0000-4713,0175029-0000-4713,0.617,0.9313519813519814,-0.2476901293251501,100.0,100.0,neg,neg
0175029-0000-4716,0175029-0000-4716,0.6835,0.9313519813519814,0.17863895578469757,100.0,100.0,neg,neg
0175029-0000-6875,0175029-0000-6875,0.659,0.9313519813519814,-0.20182560545537154,97.72727272727273,100.0,neg,neg
0175029-0000-7392,0175029-0000-7392,0.015,0.06563845050215208,-1.3655683103475993,100.0,0.0,neg,pos
0179445-0000-3630,0179445-0000-3630,0.987,0.9981180144641684,0.00660417513348921,100.0,98.87640449438202,neg,neg
0179445-0000-3633,0179445-0000-3633,0.611,0.9313519813519814,-0.2537864253919704,0.0,0.0,pos,pos
0179445-0000-3733,0179445-0000-3733,0.001,0.009807073954983923,-1.666311810085864,100.0,0.0,neg,pos
0179445-0000-3736,0179445-0000-3736,0.1755,0.45906946826758144,-1.0117095013624644,100.0,0.0,neg,pos
0179445-0000-4289,0179445-0000-4289,0.001,0.009807073954983923,-1.6496156158090605,100.0,0.0,neg,pos
0179445-0000-4292,0179445-0000-4292,0.6835,0.9313519813519814,-0.17801015586183366,98.80952380952381,100.0,neg,neg
0179445-0000-4755,0179445-0000-4755,0.945,0.9961296893566457,0.03096234095655881,100.0,100.0,neg,neg
0179445-0000-4758,0179445-0000-4758,0.602,0.9313519813519814,0.26568454693284527,100.0,96.3855421686747,neg,neg
0198306-0000-7064,0198306-0000-7064,0.8455,0.9645689171498036,0.07693701993186475,97.75280898876404,100.0,neg,neg
0198306-0000-7069,0198306-0000-7069,0.0025,0.019652061855670103,-1.5771125640229688,100.0,1.2987012987012987,neg,pos
0198306-0000-7099,0198306-0000-7099,0.552,0.9313519813519814,0.3552999838049651,100.0,98.80952380952381,neg,neg
0198306-0000-7102,0198306-0000-7102,0.769,0.9472238865588175,-0.11982603695081873,100.0,100.0,neg,neg
0225151-0000-6384,0225151-0000-6384,0.6405,0.9313519813519814,-0.21666516876309594,98.82352941176471,96.34146341463415,neg,neg
0225151-0000-6389,0225151-0000-6389,0.681,0.9313519813519814,-0.17985333337143006,100.0,97.5,neg,neg
0225151-0000-6426,0225151-0000-6426,0.136,0.3696969696969697,-1.06476611465876,98.83720930232558,1.3513513513513513,neg,pos
0297417-0002B-6895,0297417-0002B-6895,0.006,0.0366,-1.4944399309793888,98.83720930232558,0.0,neg,pos
0297417-0002B-6900,0297417-0002B-6900,0.4805,0.9313519813519814,-0.6826981163899977,98.87640449438202,100.0,neg,neg
0297417-0002B-6902,0297417-0002B-6902,0.622,0.9313519813519814,0.239853280537058,100.0,100.0,neg,neg
0316684-0000-7052,0316684-0000-7052,0.024,0.09336734693877552,1.3097518476489671,0.0,100.0,pos,neg
0316684-0000-7057,0316684-0000-7057,0.8215,0.9577656161539914,0.08975554172605005,100.0,100.0,neg,neg
0316684-0000-7093,0316684-0000-7093,0.7805,0.9495512564818508,0.11262332433799671,100.0,98.80952380952381,neg,neg
0316684-0000-7098,0316684-0000-7098,0.924,0.9926734765762593,0.039596322348915525,100.0,100.0,neg,neg
0317956-0000-3774,0317956-0000-3774,0.208,0.5337820782498949,0.9739657099870631,0.0,100.0,pos,neg
0317956-0000-3777,0317956-0000-3777,0.0025,0.019652061855670103,1.5645687741431709,0.0,100.0,pos,neg
0317956-0000-3855,0317956-0000-3855,0.8895,0.9806524489427073,-0.05410426053418449,0.0,0.0,pos,pos
0317956-0000-3858,0317956-0000-3858,0.5365,0.9313519813519814,-0.3827415140587177,100.0,100.0,neg,neg
0317956-0000-3966,0317956-0000-3966,0.8665,0.9680773440350238,-0.067375818351126,1.2048192771084338,0.0,pos,pos
0317956-0000-3969,0317956-0000-3969,0.001,0.009807073954983923,1.7043882856308055,0.0,97.61904761904762,pos,neg
0317956-0000-4331,0317956-0000-4331,0.526,0.9313519813519814,0.44108789481206645,100.0,100.0,neg,neg
0317956-0000-4334,0317956-0000-4334,0.6535,0.9313519813519814,0.20620228295897858,100.0,98.78048780487805,neg,neg
10-methoxyharmalan-1743,10-methoxyharmalan-1743,0.705,0.9313519813519814,-0.1627384937939944,98.80952380952381,100.0,neg,neg
10-methoxyharmalan-2893,10-methoxyharmalan-2893,0.7575,0.942433204160718,-0.12540894382410206,98.79518072289156,98.86363636363636,neg,neg
10-methoxyharmalan-5455,10-methoxyharmalan-5455,0.564,0.9313519813519814,-0.33161934997380227,98.7012987012987,100.0,neg,neg
10-methoxyharmalan-6355,10-methoxyharmalan-6355,0.022,0.08708630759247242,1.3188477900643187,0.0,98.79518072289156,pos,neg
15(S)-15-methylprostaglandin E2-7489,15(S)-15-methylprostaglandin E2-7489,0.0005,0.00840220385674931,-1.7762615615245085,100.0,0.0,neg,pos
15(S)-15-methylprostaglandin E2-7494,15(S)-15-methylprostaglandin E2-7494,0.5115,0.9313519813519814,-0.5559525122111545,100.0,98.61111111111111,neg,neg
15(S)-15-methylprostaglandin E2-7521,15(S)-15-methylprostaglandin E2-7521,0.0005,0.00840220385674931,-1.7796332595774293,100.0,0.0,neg,pos
15(S)-15-methylprostaglandin E2-7526,15(S)-15-methylprostaglandin E2-7526,0.0285,0.1081829495955196,-1.2985019959741766,98.83720930232558,0.0,neg,pos
15-delta prostaglandin J2-1011,15-delta prostaglandin J2-1011,0.076,0.23226452905811623,-1.1704588810266974,97.67441860465115,98.80952380952381,neg,neg
15-delta prostaglandin J2-1069,15-delta prostaglandin J2-1069,0.0005,0.00840220385674931,-2.4052146692078433,100.0,0.0,neg,pos
15-delta prostaglandin J2-1172,15-delta prostaglandin J2-1172,0.545,0.9313519813519814,-0.3637018548526223,100.0,100.0,neg,neg
15-delta prostaglandin J2-1231,15-delta prostaglandin J2-1231,0.5215,0.9313519813519814,-0.46484485918100427,100.0,100.0,neg,neg
15-delta prostaglandin J2-1656,15-delta prostaglandin J2-1656,0.1735,0.4552043010752688,-1.0146757266849606,100.0,100.0,neg,neg
15-delta prostaglandin J2-201,15-delta prostaglandin J2-201,0.679,0.9313519813519814,0.18229928271954354,100.0,98.86363636363636,neg,neg
15-delta prostaglandin J2-2691,15-delta prostaglandin J2-2691,0.4945,0.9313519813519814,-0.6513975049050946,100.0,100.0,neg,neg
15-delta prostaglandin J2-4455,15-delta prostaglandin J2-4455,0.0005,0.00840220385674931,-2.0130188376352245,100.0,0.0,neg,pos
15-delta prostaglandin J2-446,15-delta prostaglandin J2-446,0.012,0.05454545454545455,-1.3900433629664701,100.0,0.0,neg,pos
15-delta prostaglandin J2-5228,15-delta prostaglandin J2-5228,0.3495,0.8531212484993997,-0.8385591521650038,98.80952380952381,98.71794871794873,neg,neg
15-delta prostaglandin J2-5591,15-delta prostaglandin J2-5591,0.001,0.009807073954983923,-1.7026694566976999,98.79518072289156,0.0,neg,pos
15-delta prostaglandin J2-564,15-delta prostaglandin J2-564,0.01,0.05209222886421862,-1.4411412198422011,100.0,1.0869565217391304,neg,pos
15-delta prostaglandin J2-6190,15-delta prostaglandin J2-6190,0.7175,0.9313519813519814,-0.15069238870869417,100.0,100.0,neg,neg
15-delta prostaglandin J2-6948,15-delta prostaglandin J2-6948,0.415,0.9313519813519814,-0.7756177643288347,100.0,100.0,neg,neg
15-delta prostaglandin J2-6990,15-delta prostaglandin J2-6990,0.0005,0.00840220385674931,-2.6593142210650944,100.0,0.0,neg,pos
16-phenyltetranorprostaglandin E2-7505,16-phenyltetranorprostaglandin E2-7505,0.8715,0.9693927789934355,-0.061631120918993254,98.78048780487805,97.70114942528735,neg,neg
16-phenyltetranorprostaglandin E2-7509,16-phenyltetranorprostaglandin E2-7509,0.8935,0.9816912824207492,0.05279579750359298,98.87640449438202,100.0,neg,neg
16-phenyltetranorprostaglandin E2-7541,16-phenyltetranorprostaglandin E2-7541,0.5285,0.9313519813519814,-0.42899729303634015,100.0,100.0,neg,neg
16-phenyltetranorprostaglandin E2-7546,16-phenyltetranorprostaglandin E2-7546,0.7665,0.9471052631578947,-0.12149330055327445,100.0,98.66666666666667,neg,neg
2-aminobenzenesulfonamide-3063,2-aminobenzenesulfonamide-3063,0.7335,0.9386091881686596,0.14043927100121534,97.40259740259741,98.64864864864865,neg,neg
2-aminobenzenesulfonamide-3400,2-aminobenzenesulfonamide-3400,0.332,0.814969818913481,-0.8583190026420167,97.5609756097561,0.0,neg,pos
2-aminobenzenesulfonamide-5422,2-aminobenzenesulfonamide-5422,0.9375,0.9939449064449064,0.033385461633944735,100.0,100.0,neg,neg
2-aminobenzenesulfonamide-6321,2-aminobenzenesulfonamide-6321,0.1895,0.4927323103154305,1.0001342282497332,0.0,98.68421052631578,pos,neg
2-deoxy-D-glucose-344,2-deoxy-D-glucose-344,0.0005,0.00840220385674931,-2.0243203350509957,100.0,1.2345679012345678,neg,pos
3-acetamidocoumarin-2941,3-acetamidocoumarin-2941,0.521,0.9313519813519814,-0.47562765541613083,98.82352941176471,100.0,neg,neg
3-acetamidocoumarin-4426,3-acetamidocoumarin-4426,0.01,0.05209222886421862,-1.4467683530366142,98.9010989010989,1.25,neg,pos
3-acetamidocoumarin-4601,3-acetamidocoumarin-4601,0.96,0.9961296893566457,-0.023202450315367773,96.25,96.1038961038961,neg,neg
3-acetamidocoumarin-7361,3-acetamidocoumarin-7361,0.0005,0.00840220385674931,-1.7592789880957576,100.0,0.0,neg,pos
3-acetylcoumarin-3044,3-acetylcoumarin-3044,0.6975,0.9313519813519814,0.16779325590634753,96.47058823529412,98.64864864864865,neg,neg
3-acetylcoumarin-3382,3-acetylcoumarin-3382,0.531,0.9313519813519814,-0.41228646450309725,1.1627906976744187,0.0,pos,pos
3-acetylcoumarin-4664,3-acetylcoumarin-4664,0.002,0.017039106145251396,-1.5919026313036462,100.0,0.0,neg,pos
3-acetylcoumarin-5259,3-acetylcoumarin-5259,0.6425,0.9313519813519814,-0.21495180843137202,0.0,0.0,pos,pos
3-acetylcoumarin-5624,3-acetylcoumarin-5624,0.5765,0.9313519813519814,-0.3052890484988149,98.71794871794873,100.0,neg,neg
3-aminobenzamide-590,3-aminobenzamide-590,0.541,0.9313519813519814,-0.36944737305313124,100.0,97.59036144578313,neg,neg
3-hydroxy-DL-kynurenine-1109,3-hydroxy-DL-kynurenine-1109,0.4435,0.9313519813519814,-0.7402259042619751,98.85057471264368,97.82608695652173,neg,neg
