,Term,pval,padj,NES,Top_up,Top_down,Direction_up,Direction_down
"1,4-chrysenequinone-1773","1,4-chrysenequinone-1773",0.5618,0.9243036178765666,-0.3156345796776957,98.79518072289156,100.0,neg,neg
"1,4-chrysenequinone-7139","1,4-chrysenequinone-7139",0.0006,0.011261538461538462,-1.842225353088328,100.0,0.0,neg,pos
"1,5-isoquinolinediol-543","1,5-isoquinolinediol-543",0.789,0.9560786650774732,0.10975877592464456,100.0,100.0,neg,neg
"11-deoxy-16,16-dimethylprostaglandin E2-7514","11-deoxy-16,16-dimethylprostaglandin E2-7514",0.846,0.9667665792431622,0.07873283875190684,100.0,100.0,neg,neg
"11-deoxy-16,16-dimethylprostaglandin E2-7519","11-deoxy-16,16-dimethylprostaglandin E2-7519",0.946,0.9927697594501719,-0.02858618159714721,98.83720930232558,98.82352941176471,neg,neg
"11-deoxy-16,16-dimethylprostaglandin E2-7533","11-deoxy-16,16-dimethylprostaglandin E2-7533",0.2086,0.5364502529510962,0.9798107047464153,0.0,98.68421052631578,pos,neg
"11-deoxy-16,16-dimethylprostaglandin E2-7538","11-deoxy-16,16-dimethylprostaglandin E2-7538",0.0006,0.011261538461538462,1.8537301374221724,0.0,100.0,pos,neg
"12,13-EODE-1108","12,13-EODE-1108",0.0048,0.03416569428238039,-1.540576113356943,100.0,0.0,neg,pos
"16,16-dimethylprostaglandin E2-6562","16,16-dimethylprostaglandin E2-6562",0.73,0.9405399704703649,-0.14417599135624015,98.82352941176471,96.3855421686747,neg,neg
"16,16-dimethylprostaglandin E2-6592","16,16-dimethylprostaglandin E2-6592",0.6994,0.9358474394686094,0.16481435776473252,97.5609756097561,100.0,neg,neg
"16,16-dimethylprostaglandin E2-6597","16,16-dimethylprostaglandin E2-6597",0.0066,0.04361863488624052,-1.5135564496169915,98.87640449438202,0.0,neg,pos
"2,6-dimethylpiperidine-3806","2,6-dimethylpiperidine-3806",0.0614,0.20039593365436062,-1.2101619026852397,98.66666666666667,0.0,neg,pos
"2,6-dimethylpiperidine-3889","2,6-dimethylpiperidine-3889",0.0132,0.06694512694512694,1.4263327092733715,0.0,100.0,pos,neg
"2,6-dimethylpiperidine-4363","2,6-dimethylpiperidine-4363",0.5956,0.9243036178765666,-0.2652694444607654,98.80952380952381,100.0,neg,neg
"2,6-dimethylpiperidine-4543","2,6-dimethylpiperidine-4543",0.0482,0.16573844419391204,1.248052308474128,0.0,98.66666666666667,pos,neg
"2,6-dimethylpiperidine-6049","2,6-dimethylpiperidine-6049",0.5604,0.9243036178765666,-0.31940842822412696,100.0,100.0,neg,neg
"4,5-dianilinophthalimide-578","4,5-dianilinophthalimide-578",0.6614,0.9268195368034854,-0.19152482996959452,100.0,98.85057471264368,neg,neg
"4,5-dianilinophthalimide-624","4,5-dianilinophthalimide-624",0.8412,0.9659864457831325,0.08148616232485972,98.86363636363636,100.0,neg,neg
(+)-chelidonine-1786,(+)-chelidonine-1786,0.5078,0.9243036178765666,-0.5088710809560332,100.0,100.0,neg,neg
(+)-chelidonine-2779,(+)-chelidonine-2779,0.5608,0.9243036178765666,-0.3180006314600766,100.0,100.0,neg,neg
(+)-chelidonine-5760,(+)-chelidonine-5760,0.6294,0.9243036178765666,-0.22052064855788422,100.0,98.68421052631578,neg,neg
(+)-chelidonine-6236,(+)-chelidonine-6236,0.001,0.015443037974683545,-1.7365828907413485,100.0,0.0,neg,pos
(+)-isoprenaline-3046,(+)-isoprenaline-3046,0.7816,0.9529498701817455,0.11437408667720472,100.0,97.5,neg,neg
(+)-isoprenaline-3384,(+)-isoprenaline-3384,0.6214,0.9243036178765666,0.22892689630764818,100.0,100.0,neg,neg
(+)-isoprenaline-5009,(+)-isoprenaline-5009,0.5194,0.9243036178765666,-0.4249838953183377,100.0,100.0,neg,neg
(+)-isoprenaline-6663,(+)-isoprenaline-6663,0.0012,0.016598639455782313,1.7322609704482557,0.0,98.73417721518987,pos,neg
