,Term,pval,padj,NES,Top_up,Top_down,Direction_up,Direction_down
"1,4-chrysenequinone-1773","1,4-chrysenequinone-1773",0.005,0.059223300970873784,-1.489461202701834,100.0,0.0,neg,pos
"1,4-chrysenequinone-7139","1,4-chrysenequinone-7139",0.0155,0.11818749999999999,-1.3539223710197512,100.0,0.0,neg,pos
"1,5-isoquinolinediol-543","1,5-isoquinolinediol-543",0.263,0.6670686070686072,-0.9308977651454009,100.0,0.0,neg,pos
"11-deoxy-16,16-dimethylprostaglandin E2-7514","11-deoxy-16,16-dimethylprostaglandin E2-7514",0.4115,0.8819922698524244,0.7876177853247455,1.3513513513513513,100.0,pos,neg
"11-deoxy-16,16-dimethylprostaglandin E2-7519","11-deoxy-16,16-dimethylprostaglandin E2-7519",0.7385,0.9426814140996487,-0.15165218312793394,100.0,100.0,neg,neg
"11-deoxy-16,16-dimethylprostaglandin E2-7533","11-deoxy-16,16-dimethylprostaglandin E2-7533",0.5695,0.915288279773157,-0.3236589106323421,0.0,0.0,pos,pos
"11-deoxy-16,16-dimethylprostaglandin E2-7538","11-deoxy-16,16-dimethylprostaglandin E2-7538",0.695,0.9346561418685122,0.18476742779793598,100.0,98.55072463768117,neg,neg
"12,13-EODE-1108","12,13-EODE-1108",0.2175,0.5852448169386856,-0.9649085859543347,98.66666666666667,0.0,neg,pos
"16,16-dimethylprostaglandin E2-6562","16,16-dimethylprostaglandin E2-6562",0.8865,0.9732991360691144,-0.05430868100500097,100.0,100.0,neg,neg
"16,16-dimethylprostaglandin E2-6592","16,16-dimethylprostaglandin E2-6592",0.597,0.915288279773157,-0.2805254114625463,100.0,100.0,neg,neg
"16,16-dimethylprostaglandin E2-6597","16,16-dimethylprostaglandin E2-6597",0.485,0.915288279773157,0.67256979991268,0.0,100.0,pos,neg
"2,6-dimethylpiperidine-3806","2,6-dimethylpiperidine-3806",0.0685,0.291280276816609,-1.1687226400408475,100.0,0.0,neg,pos
"2,6-dimethylpiperidine-3889","2,6-dimethylpiperidine-3889",0.565,0.915288279773157,0.3327205732387637,98.52941176470588,98.27586206896551,neg,neg
"2,6-dimethylpiperidine-4363","2,6-dimethylpiperidine-4363",0.6275,0.915288279773157,-0.2389830100630535,0.0,1.7857142857142856,pos,pos
"2,6-dimethylpiperidine-4543","2,6-dimethylpiperidine-4543",0.7705,0.9441643230212936,0.12365955967757314,100.0,98.33333333333333,neg,neg
"2,6-dimethylpiperidine-6049","2,6-dimethylpiperidine-6049",0.2785,0.6900284321689684,0.9141498217873725,0.0,95.71428571428572,pos,neg
"4,5-dianilinophthalimide-578","4,5-dianilinophthalimide-578",0.131,0.43078167115902966,-1.065647177423945,100.0,0.0,neg,pos
"4,5-dianilinophthalimide-624","4,5-dianilinophthalimide-624",0.148,0.46416452442159384,-1.0416780365173253,100.0,0.0,neg,pos
(+)-chelidonine-1786,(+)-chelidonine-1786,0.5225,0.915288279773157,-0.4702301180320061,100.0,100.0,neg,neg
(+)-chelidonine-2779,(+)-chelidonine-2779,0.315,0.749414976599064,-0.8846879901924057,100.0,0.0,neg,pos
(+)-chelidonine-5760,(+)-chelidonine-5760,0.0195,0.13440677966101694,-1.3213807172026177,98.48484848484848,0.0,neg,pos
(+)-chelidonine-6236,(+)-chelidonine-6236,0.0035,0.048412698412698414,-1.5567430306803614,97.40259740259741,1.5625,neg,pos
(+)-isoprenaline-3046,(+)-isoprenaline-3046,0.2165,0.582811120917917,-0.9654834973169757,100.0,0.0,neg,pos
(+)-isoprenaline-3384,(+)-isoprenaline-3384,0.8545,0.9683169236485232,-0.07379547874107961,100.0,98.36065573770492,neg,neg
(+)-isoprenaline-5009,(+)-isoprenaline-5009,0.6395,0.9187352802637776,-0.22511996692217917,0.0,0.0,pos,pos
(+)-isoprenaline-6663,(+)-isoprenaline-6663,0.034,0.1888888888888889,-1.260157737435371,100.0,0.0,neg,pos
(+/-)-catechin-3012,(+/-)-catechin-3012,0.522,0.915288279773157,-0.485562494902169,97.26027397260275,96.42857142857143,neg,neg
(+/-)-catechin-3351,(+/-)-catechin-3351,0.319,0.7542248062015504,-0.8813670911036107,100.0,0.0,neg,pos
(+/-)-catechin-4255,(+/-)-catechin-4255,0.5405,0.915288279773157,0.39889371671629625,0.0,0.0,pos,pos
(+/-)-catechin-4837,(+/-)-catechin-4837,0.552,0.915288279773157,-0.3669388224037953,100.0,100.0,neg,neg
(-)-MK-801-3081,(-)-MK-801-3081,0.21,0.5703472840605521,-0.97043195250061,100.0,0.0,neg,pos
