"","Entrez","Gene_symbol","logFC","SE","P.Value","FDR"
"338370","338370","Nalcn",0.342542960951064,0.212527138610165,0.107013950203,0.688912381210683
"102680","102680","Slc6a20a",0.242879510110995,0.392900540433664,0.536462976264866,0.85606636827979
"140703","140703","Emid1",-0.105202623122425,0.151712349631032,0.488036728258231,0.839389899430031
"93761","93761","Smarca1",-0.0464341969041827,0.150878840393083,0.758266347641184,0.934756576157068
"329178","329178","Unc80",-0.108836640443934,0.173419946081751,0.530272498993566,0.855587577585441
"63873","63873","Trpv4",0.316844896024484,0.141040699229016,0.0246733762589805,0.601315289545863
"27528","27528","Nrep",-0.543393214814972,0.135589618339694,6.13307349749925e-05,0.0504182449162278
"16009","16009","Igfbp3",-0.16170233676863,0.133585000463794,0.226093711609882,0.74511861234355
"17387","17387","Mmp14",-0.0392354130838945,0.143897510098565,0.785112886540964,0.943269712119612
"12832","12832","Col5a2",-0.273720834604631,0.128720032126851,0.0334631443586896,0.611594623512686
"12986","12986","Csf3r",0.00133814669343565,0.120714335794358,0.991155443854226,0.997583584636978
"17690","17690","Msi1",-0.124690585960975,0.0995371456704784,0.210313429862144,0.738564696947298
"327900","327900","Ubtd2",-0.109185537713893,0.113166705512413,0.334634813296395,0.783896562614232
"235281","235281","Scn3b",-0.165159408859426,0.140231606104198,0.238891638367879,0.746851441315897
"14314","14314","Fstl1",-0.0127912491966734,0.130319544616812,0.92181083361585,0.978893419834455
"73230","73230","Bmper",-0.0696155372655496,0.0870553989471102,0.423902375718475,0.815062718678345
"20201","20201","S100a8",0.554861748058223,0.226301334003286,0.0142115478022421,0.506379887479889
"12842","12842","Col1a1",-0.298054881402485,0.148967774672614,0.0454138332024801,0.625195338602534
"213417","213417","Klhdc8a",0.0303065961316125,0.0448279844767717,0.498999875547722,0.843688786202253
"105785","105785","Kdelr3",-0.108591955161742,0.141413969257957,0.442545890872714,0.823425353044468
"15203","15203","Heph",0.0343847869226679,0.106844154763599,0.747587636356664,0.928901233535874
"74182","74182","Gpcpd1",-0.257396142789177,0.175142692080089,0.141660152168903,0.70433821913717
"68591","68591","Mocos",0.0897545193951539,0.0922629275754894,0.33064655197451,0.782060862707436
"56312","56312","Nupr1",0.224787563340788,0.0952395276964603,0.0182634149826877,0.545957514378579
"93671","93671","Cd163",0.401825028460799,0.161303468686724,0.0127343921376845,0.494350907391826
"12831","12831","Col5a1",-0.22945164671611,0.0988725192877024,0.0203040287950051,0.561341052763878
"77772","77772","Dcst1",0.194889643839379,0.204680588653489,0.341013429310566,0.786433135918958
"20519","20519","Slc22a3",0.0202141586188626,0.118035535962822,0.864023376318694,0.967590907955852
"17390","17390","Mmp2",-0.148915268155525,0.0932113905659532,0.110130233206599,0.688912381210683
"235380","235380","Dmxl2",-0.0135944171145676,0.126703135702798,0.914556177189309,0.977728061296724
"12825","12825","Col3a1",-0.522947063108457,0.159083867254199,0.00101174090188509,0.23288252079591
"18675","18675","Phex",-0.179974916503286,0.253914545281551,0.478447896730649,0.835797996747526
"20538","20538","Slc6a2",0.0490010970150981,0.154055011164388,0.750427803791779,0.929816924915319
"245049","245049","Myrip",0.240430633018453,0.174771625298176,0.16891930253525,0.722543809838936
"50525","50525","Spag6l",0.0426567896025021,0.0864699547701449,0.621791143502042,0.88720484385879
"12877","12877","Cpeb1",0.224589071387175,0.0890768551737218,0.0116923626521869,0.488785684200169
"69183","69183","C1qtnf2",-0.247479340163837,0.0964905740241489,0.010323431782149,0.473397430224592
"66873","66873","Tril",-0.0193892113431254,0.0810328257366674,0.810891565260514,0.952592734978387
"16176","16176","Il1b",0.23367178117891,0.111180631156379,0.0355768447795232,0.612988695581386
"30878","30878","Apln",-0.0248709204602265,0.14937445853179,0.867763098004629,0.968734801307913
"11610","11610","Agtrap",0.0516485061366675,0.0433333537953868,0.233305148239997,0.746598560371896
"14262","14262","Fmo3",0.0673972477375675,0.0883143788674583,0.445373069419561,0.823425353044468
"14579","14579","Gem",-0.132980631225517,0.170418440785427,0.435203532718559,0.821646564642043
"70574","70574","Cpm",-0.00874942325857117,0.0722455196364976,0.903606448014793,0.976169093572971
"18596","18596","Pdgfrb",0.100202698023204,0.133837381684245,0.454044123078832,0.825528248422477
"407800","407800","Ecm2",-0.128332291605643,0.0644844013400438,0.0465767022870527,0.625195338602534
"12843","12843","Col1a2",-0.24420720107979,0.122910165416874,0.04693619100894,0.625195338602534
"246728","246728","Oas2",-0.11043097676289,0.169393366507123,0.514452579205341,0.849839921641204
"240168","240168","Rasgrp3",-0.111277675971587,0.0774008879142801,0.150524989777974,0.71058155021249
"20272","20272","Scn7a",-0.0176304638657441,0.0639762251139378,0.782871924457136,0.942563386950274
"13655","13655","Egr3",-0.152428459259506,0.105025569205675,0.146683486629911,0.706943152271208
"68481","68481","Mpzl1",-0.089744236936605,0.0545645341062391,0.100024328292454,0.684658282429265
"22068","22068","Trpc6",-0.00193573949354442,0.0630412272118206,0.975504062144463,0.994354257246356
"268709","268709","Fam107a",0.26478538954104,0.166947995045787,0.112731334589257,0.692496552442544
"117160","117160","Ttyh2",0.0132668892773396,0.0587584590489368,0.821367180056803,0.955535719728469
"72709","72709","C1qtnf6",-0.101039745213125,0.11679272908597,0.386972837192905,0.800466125924745
"12490","12490","Cd34",-0.058564756613352,0.0571130315721132,0.305165783784535,0.770453388476135
"76123","76123","Gpsm2",-0.119410355721557,0.0641818267847564,0.0628146709247265,0.640437776939397
"77889","77889","Lbh",-0.134995936423616,0.0713680695564461,0.0585515900977923,0.6348377597798
"103098","103098","Slc6a15",-0.0497325017229556,0.0613903433786687,0.417880976654525,0.812606436169254
"27355","27355","Pald1",-0.0273889055395501,0.0369483147290528,0.458526002382397,0.828187490012607
"67416","67416","Armcx2",-0.255141533324263,0.115756464190949,0.02751566576013,0.603786781350996
"13610","13610","S1pr3",-0.0182991676636356,0.0922590780531505,0.842774799878195,0.960847338002799
"114249","114249","Npnt",-0.170110587267893,0.161031562684875,0.290794455045654,0.765690860452613
"15245","15245","Hhip",-0.0310177564333611,0.0805860101972717,0.700309656886369,0.915215018739858
"58203","58203","Zbp1",0.065853778131268,0.15907706534442,0.678893106362499,0.909121241121825
"74127","74127","Krt80",0.0226946541755886,0.0343475320848726,0.50878157250686,0.846669623768284
"219228","219228","Pcdh17",-0.22262885411632,0.0634433559953281,0.000449631850101872,0.183698083419068
"54195","54195","Gucy1b1",-0.0585563427784569,0.0969511354107001,0.545858338044585,0.859680755840659
"12552","12552","Cdh11",0.00143533622072556,0.0764149775639152,0.98501386368089,0.995479852221932
"73173","73173","Pcdh18",0.00138160209318008,0.0964250267910263,0.988568100021989,0.997213244392134
"18163","18163","Ctnnd2",0.036847473205539,0.0789502412246446,0.640701880728362,0.895317866112521
"16949","16949","Loxl1",0.171815266602994,0.0864848785274722,0.0469610902448014,0.625195338602534
"60596","60596","Gucy1a1",-0.0741229536869887,0.0642243346150605,0.248448647608251,0.751020290839777
"11287","11287","Pzp",-0.0309376754815301,0.0634260980673892,0.625709103939705,0.888691492544521
"12189","12189","Brca1",0.00311529734159793,0.0268013596925097,0.907465077580883,0.976989296340354
"14086","14086","Fscn1",-0.0349128130414038,0.0510223549218184,0.493807827125183,0.841835917994924
"67198","67198","Spats2l",-0.183088145274872,0.0848570711319692,0.0309584599714428,0.60590838423518
"211187","211187","Lrtm2",0.0996369768954725,0.185691570291639,0.591562993131096,0.877359541686848
"16000","16000","Igf1",-0.153771819227254,0.107072019138196,0.150958762496714,0.71058155021249
"66569","66569","Gdpd1",-0.0309279162834732,0.118391185001365,0.793911320959285,0.946460057273712
"71690","71690","Esm1",0.0646964660858371,0.148929982814149,0.663991750104459,0.904433757233503
"66412","66412","Arrdc4",0.0758258344356034,0.0807822476644202,0.347913157626436,0.78770322159453
"20408","20408","Sh3gl3",-0.0948658211192031,0.0536455691725735,0.0769971813562015,0.65779549319601
"71914","71914","Antxr2",-0.103592321800249,0.108035362782256,0.337622124714767,0.78525109960032
"235300","235300","Tmem136",-0.0381418463881413,0.0471818971175318,0.41886034271709,0.813201267454277
"67141","67141","Fbxo5",-0.0595718111764047,0.0342796754166954,0.0822430206029376,0.670825601785407
"18795","18795","Plcb1",-0.165957037676657,0.0589099937929556,0.00484550959086204,0.379367142049192
"53325","53325","Banp",0.030780008452173,0.076276657905816,0.686557514543099,0.910741175066451
"12834","12834","Col6a2",-0.114354184874913,0.0864991823001492,0.186159428204182,0.733227946163497
"226518","226518","Nmnat2",-0.15344720356124,0.0953819545806258,0.107667614253461,0.688912381210683
"17161","17161","Maoa",0.154651494161365,0.119325127236923,0.194957788775803,0.735773185804956
"77015","77015","Mpped2",-0.0720979116609484,0.0859732485457034,0.401688943537119,0.804497704552492
"17534","17534","Mrc2",0.127737721691658,0.0930595927832404,0.169862945873944,0.723499768450446
"16431","16431","Itm2a",-0.546734827311134,0.228920985047376,0.0169259472352428,0.529199809291547
"13804","13804","Endog",-0.0949069063024747,0.0526960682692234,0.0716990295256445,0.65733178348184
"76574","76574","Mfsd2a",-0.066762721477608,0.161845530606684,0.679966460167445,0.909121241121825
"12827","12827","Col4a2",0.00652967394218519,0.0658640398661661,0.92102816150441,0.978592421598436
"12826","12826","Col4a1",-0.128021982871907,0.0766164533860252,0.0947322759510944,0.679721797955826
"12494","12494","Cd38",0.0543359393367202,0.0700783833665196,0.438127267666134,0.822821336494514
"17215","17215","Mcm3",0.0253278632507591,0.0921215748841182,0.78336269020508,0.942563386950274
"210029","210029","Metrnl",0.0694164103970064,0.0551519442888028,0.208160606913668,0.738564696947298
"19201","19201","Pstpip2",0.0353724182811737,0.107789349562243,0.742788828929967,0.926238834348544
"14696","14696","Gnb4",-0.0818348499442796,0.0539120998041342,0.129031782946404,0.694014072041278
"16367","16367","Irs1",-0.140412511950504,0.0743105290701517,0.0588198777765871,0.6348377597798
"56695","56695","Pnkd",0.0393446411853139,0.069276063430065,0.570075771434979,0.868546737284243
"19362","19362","Rad51ap1",0.0158875946177307,0.102359343509174,0.876652677302009,0.970722681907495
"243912","243912","Hspb6",0.0827352971524292,0.147369571693704,0.574515543787543,0.871032484979146
"26950","26950","Vsnl1",-0.10558396775686,0.136185239248981,0.438164353791335,0.822821336494514
"66771","66771","Gid4",-0.0817733275367562,0.0251799264813154,0.00116399030152436,0.251740913935016
"230787","230787","Themis2",0.0649469662083544,0.107299781655928,0.544989535698245,0.85957031195712
"67448","67448","Plxdc2",0.011987941016678,0.0494478877597312,0.808442453502501,0.951611473717137
"21923","21923","Tnc",0.0688545705817167,0.150313746081664,0.646900464553791,0.897908611413455
"20377","20377","Sfrp1",0.210126020474031,0.0809934881778067,0.00947680357266325,0.472050427864519
"53608","53608","Map3k6",0.179707094097982,0.0819409885932211,0.0282981426490746,0.604759167086503
"110829","110829","Lims1",-0.0200758483707738,0.0326161675150905,0.538212479830763,0.85606636827979
"52589","52589","Ncald",-0.102894392468369,0.0829016914906015,0.21454607320485,0.739579788707435
"68939","68939","Rasl11b",-0.234850462041391,0.129681699267616,0.0701445465090836,0.654452881268636
"12575","12575","Cdkn1a",0.756447841768942,0.345021133100399,0.0283457211957398,0.604759167086503
"12411","12411","Cbs",0.0170155945621365,0.0462206628282579,0.712770140914262,0.918413742922329
"80879","80879","Slc16a3",0.0804911010893114,0.0702633828791138,0.251976194283929,0.752467534627917
"69640","69640","Fam83g",0.00586767131778998,0.218408859891763,0.978566981038836,0.994995264179647
"22193","22193","Ube2e3",-0.107987571361714,0.0978146373011815,0.269592198484292,0.757038250563664
"19038","19038","Ppic",-0.0267665396494945,0.0693963591500375,0.699714978546806,0.915148540872358
"231633","231633","Tmem119",-0.0021942848992894,0.094460928747624,0.981467167202662,0.994995264179647
"12182","12182","Bst1",-0.0136372502070939,0.0566622345507656,0.80980610135297,0.952289610756241
"68708","68708","Rabl2",-0.0526087128709994,0.0442536356492732,0.23451845977594,0.746598560371896
"108927","108927","Lhfp",0.0597060268237992,0.0659804200895832,0.365515599228012,0.79384868861955
"80859","80859","Nfkbiz",0.0982286547066502,0.0477834861327998,0.0398111547807823,0.622159401852272
"109079","109079","Sephs1",-0.0282776379767852,0.027380186486778,0.301708079515532,0.770367145977987
"16842","16842","Lef1",-0.21716168912591,0.162460053573458,0.181317897535453,0.729646042914521
"106369","106369","Ypel1",-0.0379768777452876,0.0546863947754029,0.48740106825404,0.839165475318941
"69136","69136","Tusc1",-0.119175646205641,0.069352432324395,0.0857225594163238,0.67175794715908
"21452","21452","Tcn2",-0.0293054651016128,0.0251960673553351,0.24479023371524,0.748483209306243
"50706","50706","Postn",-0.0835076868604404,0.150831726414973,0.579819754702792,0.874010110705103
"109205","109205","Sobp",-0.0715736492361547,0.0525276337390475,0.173011637442682,0.725437401332158
"13617","13617","Ednra",-0.107588320042643,0.100343278891311,0.283629062901115,0.763182451631105
"70375","70375","Ica1l",-0.0315742268927865,0.0312345400129178,0.312076088340356,0.773340815484246
"12835","12835","Col6a3",-0.134687977180456,0.107247145814555,0.209164783518861,0.738564696947298
"18140","18140","Uhrf1",0.144221479101815,0.221513784795206,0.514999846409822,0.850006883413663
"53601","53601","Pcdh12",-0.118802214267412,0.0381436378139875,0.00184193854781541,0.315603423132309
"218121","218121","Mboat1",-0.0351730453530988,0.0404555939312129,0.384615516701773,0.799591759703885
"210622","210622","Pamr1",0.0581046079641412,0.0957239700205837,0.543849815630342,0.858596368736571
"68797","68797","Pdgfrl",-0.245479607181331,0.145088342858178,0.0906589436193168,0.674441481149653
"14119","14119","Fbn2",-0.138218980649645,0.124623596102759,0.267390678447304,0.757038250563664
"320100","320100","Relt",0.0249294996136139,0.0749400244885453,0.739391439717007,0.925917024311117
"99899","99899","Ifi44",-0.111754820419678,0.0830293028011069,0.178312697823737,0.728595936421881
"22021","22021","Tpst1",0.0166298523189017,0.0535123882377395,0.755978213677545,0.933335471059308
"242202","242202","Pde5a",-0.0184935474537678,0.116986630749406,0.874391733622145,0.970377687858704
"69551","69551","2310022B05Rik",0.0970611253594657,0.13476562295203,0.471388508423192,0.832470514568439
"12029","12029","Bcl6b",0.088426004429501,0.0978205669785498,0.36601593592621,0.79384868861955
"14012","14012","Mpzl2",0.00304182943083938,0.054556949882736,0.955536886252178,0.990121006921429
"17909","17909","Myo10",0.0109290065308569,0.0618902609608733,0.859832920100418,0.966531045916835
"73914","73914","Irak3",0.0398416766972218,0.0995145326415206,0.688891097138425,0.911001641702206
"16765","16765","Stmn1",-0.1817132411915,0.0761582682943102,0.017032986388385,0.529199809291547
"13808","13808","Eno3",-0.0345103593903636,0.0594709509659962,0.561719509154326,0.865866680369769
"11480","11480","Acvr2a",-0.0620559020096273,0.0325734244565816,0.056765991860124,0.631218181153928
"22436","22436","Xdh",0.0315935374578706,0.0742944063538464,0.670655996917293,0.907467999633918
"210356","210356","Nckap5",-0.0770950109872349,0.0713625664196172,0.279995943668313,0.761701160874084
"17395","17395","Mmp9",0.0793188421022362,0.0635483895812259,0.211970831933207,0.738564696947298
"218454","218454","Lhfpl2",0.0443998747044775,0.107630850913165,0.679958351218316,0.909121241121825
"233651","233651","Dchs1",-0.028228368035656,0.0697037371983858,0.685494863931509,0.910712367621677
"13616","13616","Edn3",-0.139566383449736,0.125504051212565,0.266118011913283,0.757038250563664
"11761","11761","Aox1",0.063527778918001,0.0512423947553509,0.215067732570575,0.739579788707435
"18791","18791","Plat",0.159166138777078,0.0813710702087002,0.0504588924769483,0.62712097351465
"73690","73690","Glipr1",0.0977274673344002,0.124253741186397,0.43156566474075,0.819078040155226
"21827","21827","Thbs3",-0.0480913177095463,0.114493847091551,0.674460557693507,0.908431944725856
"68428","68428","Steap3",-0.0466693859805584,0.0473960348993072,0.324786895208714,0.780183947893083
"13435","13435","Dnmt3a",-0.0636539348223802,0.0421725659077353,0.131204685057847,0.694014072041278
"27357","27357","Gyg",0.00533827277920304,0.0289089902712673,0.853497386924941,0.964447857252739
"94249","94249","Slc24a3",-0.0574258739020589,0.0667825592921448,0.389847873611399,0.801779695745817
"107449","107449","Unc5b",0.0350509425936891,0.064007113664558,0.583959645559292,0.874315766301331
"68792","68792","Srpx2",0.20814057983994,0.103967317809726,0.0452867905824446,0.625195338602534
"14026","14026","Evl",-0.00485122683067325,0.0439020852944865,0.912012011619225,0.977342694751724
"170638","170638","Hpcal4",-0.0613450487283604,0.10232836472794,0.548844760539219,0.860696872740955
"21808","21808","Tgfb2",-0.0116611616749173,0.0803936733603649,0.884670811989345,0.973281460190123
"19731","19731","Rgl1",0.102833346063773,0.0624641486448992,0.099706561922777,0.684658282429265
"18591","18591","Pdgfb",0.0947863839581122,0.0693176147237049,0.171493284685501,0.725193710567551
"268780","268780","Egflam",-0.063443438386829,0.0734753222452765,0.387881336800929,0.801415611253094
"246707","246707","Emilin2",0.0830693110154586,0.105813329688811,0.432421169910791,0.819170643159579
"54153","54153","Rasa4",0.0687102958293044,0.0565607698428525,0.224440542055519,0.744483539845162
"22370","22370","Vtn",-0.165626340067959,0.0716567531052916,0.0208116019774577,0.564907375373964
"78593","78593","Nrip3",-0.0524273255267912,0.0987271286970752,0.595396176790129,0.878514692138153
"19736","19736","Rgs4",-0.265448634164284,0.134663202379956,0.0487005542439806,0.62564725091463
"59020","59020","Pdzk1",-0.0177539061750386,0.0144520774917113,0.219271556947732,0.740604690444309
"71994","71994","Cnn3",-0.0111964783834481,0.0703242298420209,0.873501658233274,0.970377687858704
"70435","70435","Inf2",0.0648400500105149,0.0459983936892371,0.158653239402913,0.715128118449718
"17988","17988","Ndrg1",0.266197042867996,0.0767177472115051,0.000520800459477464,0.184609298137958
"404634","404634","H2afy2",-0.102292431952627,0.0600426381343542,0.0884440302493223,0.674441481149653
"14859","14859","Gsta3",0.31129403546724,0.162254819778738,0.055041268760297,0.631218181153928
"20537","20537","Slc5a1",0.0357249101438836,0.0676488878884048,0.597434727601218,0.879043247246538
"50530","50530","Mfap5",0.0320907387149774,0.157276593453102,0.838322128663807,0.959480562937009
"22379","22379","Fmnl3",0.0141172876771888,0.0225498933373398,0.531284270916647,0.855775961682048
"84004","84004","Mcam",0.176052079723712,0.0821813608917932,0.0321742905424813,0.6080359767708
"84682","84682","Cox4i2",-0.0879216087886795,0.0741563954967374,0.235770785173384,0.746841256561389
"16775","16775","Lama4",-0.0783362064317459,0.0467925040662199,0.0941072718170867,0.678621924400282
"19283","19283","Ptprz1",0.0584683155294978,0.0614093097972034,0.341042043783445,0.786433135918958
"75986","75986","Agmat",-0.0973540135650211,0.0814949962959647,0.232242912821412,0.746598560371896
"22330","22330","Vcl",0.0331752663011611,0.0305606003935189,0.27767513957551,0.759713646887596
"23871","23871","Ets1",-0.0372186815584428,0.0385382078462392,0.334164003276957,0.783705684718671
