"","Entrez","Gene_symbol","logFC","SE","P.Value","FDR"
"225642","225642","Grp",-0.608050593678752,1.16666349801507,0.602236064454419,0.847931640124759
"77630","77630","Prdm8",-0.0539886112250037,0.320041849891496,0.866038637665995,0.952524691903585
"338370","338370","Nalcn",-0.927307449787294,0.549472936874103,0.0914821237938913,0.393559246180606
"140703","140703","Emid1",0.519005985582317,0.469481485173831,0.268948341176771,0.658595216368202
"208439","208439","Klhl29",-0.0407714729638566,0.195773616654453,0.835027319944763,0.93999548799277
"93761","93761","Smarca1",0.435554694897021,0.644834478602338,0.499388680314135,0.800304998023627
"329178","329178","Unc80",-0.349947538681969,0.132122408830595,0.00808112257110724,0.0917975452395612
"381813","381813","Prmt8",-1.51050553497572,0.787769808008498,0.0551813808101534,0.296866356663972
"63873","63873","Trpv4",0.580037025711976,0.610714371890715,0.342230100617932,0.722216659604593
"27528","27528","Nrep",-2.21882458486639,1.51413695913403,0.142810325474393,0.494381892012665
"16009","16009","Igfbp3",0.528540842203178,0.798639187374795,0.508098260066295,0.803845601359487
"244448","244448","Triml1",-0.324059534033823,0.53442223449681,0.544266695351242,0.820416272152928
"12832","12832","Col5a2",-1.1752814097061,0.392427818976308,0.00274536356599221,0.045300146716162
"69564","69564","Nmrk2",-0.078686450901964,0.0450733529809801,0.0808557721042,0.366061458357124
"71354","71354","Wdr31",0.0539932127027576,0.0602483121000278,0.370157695957424,0.736976919352236
"12765","12765","Cxcr2",-0.0448817195926694,0.32581648253932,0.890436790995117,0.961221903761535
"56523","56523","Pmfbp1",0.719586939546399,0.578066725697006,0.213199246911204,0.599452696707648
"12986","12986","Csf3r",0.125859998043182,0.596319009512277,0.832839264461698,0.93892517142602
"17690","17690","Msi1",0.257602276700839,0.259649435603324,0.321141097827439,0.706604388074921
"71981","71981","Tdrd12",-0.0826117561989339,0.0720871622854128,0.251795908456477,0.642547843693671
"327900","327900","Ubtd2",-0.42699235705379,0.374908105142081,0.254734277773764,0.644868541020529
"235281","235281","Scn3b",-1.02893144601946,2.65604388058596,0.698465664522254,0.886219012171917
"14314","14314","Fstl1",1.26670375717157,0.379645518812404,0.000848271776305977,0.0202070980334933
"73230","73230","Bmper",-0.490529847412833,0.4772800722875,0.304062262816411,0.698252367645504
"20201","20201","S100a8",2.00726006746939,2.15368474101951,0.351330313184007,0.727436354884609
"12842","12842","Col1a1",-0.71339497804348,0.467855325924678,0.127304096018851,0.467658413248337
"213417","213417","Klhdc8a",0.195683586335683,0.199935923299967,0.327712662977779,0.711709678089678
"22671","22671","Rnf112",-0.62651859180227,1.10553687328473,0.570911354524257,0.832162357771291
"105785","105785","Kdelr3",-0.103321451075572,0.058757873840203,0.0786748267151844,0.36174870333246
"15203","15203","Heph",0.738708949253536,0.539288980645052,0.170754608914647,0.538802134878747
"104582","104582","Rprml",-0.498504114929276,1.12777317161096,0.65847100055436,0.872691534338027
"50722","50722","Dkkl1",0.178539927059973,0.277849303888959,0.520497782072743,0.808430505347919
"74182","74182","Gpcpd1",-2.48832624920158,0.418984432762,2.86858955658083e-09,6.25853388177833e-07
"68591","68591","Mocos",0.0584395761034008,0.0830770708746379,0.481782775701631,0.791985394076088
"56312","56312","Nupr1",1.47249649994746,1.59186921444687,0.354960196732398,0.729722988945081
"93671","93671","Cd163",1.50886991258136,0.671081657215972,0.0245497539897947,0.181808388248776
"12831","12831","Col5a1",-1.42682480810548,0.368027484170174,0.000105773312958018,0.00426350201351307
"77772","77772","Dcst1",0.0669167030366195,0.149611581292279,0.65468045758187,0.871366134594734
"20519","20519","Slc22a3",0.57124718529349,0.281617028554823,0.0425139345729797,0.255287912060116
"17390","17390","Mmp2",0.383035131049584,0.0779993895089372,9.07309020333995e-07,9.45967556300515e-05
"235380","235380","Dmxl2",-1.19848880387989,0.446451094176793,0.00726428411010044,0.0860013652827998
"12825","12825","Col3a1",-1.01984027807348,0.491358994912533,0.0379355680255549,0.239625175786421
"18675","18675","Phex",0.760147684332425,0.792292507905396,0.337343131843165,0.718616644441333
"17474","17474","Clec4d",-0.0882638456194227,0.0910937224537573,0.332577896995076,0.715604758014609
"271305","271305","Phf21b",0.621574822277516,0.26700377665095,0.0199140864668784,0.159696101801192
"24111","24111","Uts2",0.0426977084527423,0.0255376458320544,0.094533861525305,0.40153520601524
"20538","20538","Slc6a2",0.0792723145637623,0.157164737408719,0.613987376636223,0.853876090020674
"50525","50525","Spag6l",0.191293902797075,0.589150611550709,0.745412375343057,0.904537220719548
"22771","22771","Zic1",1.06855387881758,0.505849071725983,0.0346524430692744,0.226009910982826
"18423","18423","Otx1",0.0515637111060407,0.0559707146342373,0.356913482012159,0.730605782345421
"12877","12877","Cpeb1",0.296459590662427,0.204894788095326,0.147928594655978,0.502168074474294
"69183","69183","C1qtnf2",-0.42160972992833,0.229773058745192,0.0665210594967595,0.330031311203089
"66873","66873","Tril",0.467664172388027,1.36313722539237,0.731538799296606,0.896972995159001
"69671","69671","Tmem52",0.665871646416851,0.269415271337269,0.013453106605289,0.127341761886639
"20860","20860","Sult1e1",-0.286907482933176,0.358804186569464,0.423930222071103,0.762336311319597
"16176","16176","Il1b",0.0677910952069268,0.151039835521742,0.653554840928849,0.871366134594734
"30878","30878","Apln",1.01723355459446,0.460992006228879,0.0273407134819994,0.195422832454541
"11610","11610","Agtrap",0.825707996104328,0.259058781530297,0.00143588682450977,0.0291525323528608
"14262","14262","Fmo3",0.122847426742821,0.0433696185505808,0.0046175633553419,0.0635955995182108
"70574","70574","Cpm",0.356806126916388,0.332242806653987,0.282853233938875,0.677799530711535
"18596","18596","Pdgfrb",0.754804407003408,1.16432492028376,0.516806173476298,0.807328793886263
"69327","69327","1700007K13Rik",-0.216437680672348,0.0797653998947577,0.00665910092139569,0.0811430338338508
"407800","407800","Ecm2",-0.0674782581942362,0.297150401372358,0.820358015837625,0.932075992065255
"12843","12843","Col1a2",-0.381096275048692,0.388034231746233,0.326040612457676,0.710378598199178
"13717","13717","Eln",-0.00371890062364959,0.144666463988566,0.979491261967268,0.99249754571198
"244958","244958","Mrap2",-1.00073514405536,0.914210721807063,0.273672696966108,0.665893294352833
"246728","246728","Oas2",0.0124847221945405,0.0532721689038737,0.814707597618825,0.930205991879041
"22402","22402","Ccn4",-0.0101067529013598,0.0397236033002259,0.799165778035082,0.924725563559052
"240168","240168","Rasgrp3",0.215709141729309,0.493780409382329,0.662218416730122,0.874626989929006
"20272","20272","Scn7a",-0.392203956209858,0.552282533800613,0.477610545040488,0.789532986888195
"13655","13655","Egr3",-1.75188402796092,1.37632297966255,0.203063197288398,0.586560471048772
"56496","56496","Tspan6",-0.411511307076932,1.080336004155,0.703269674974914,0.887073660872735
"12289","12289","Cacna1d",0.0077966724705095,0.117645338728953,0.947160729647679,0.983016904130153
"68481","68481","Mpzl1",0.0376517024857577,0.105733707923874,0.721766179424413,0.893011105298682
"381925","381925","Plpp4",0.442094729714974,0.413516218914335,0.28501966498023,0.680059243392815
"21907","21907","Nr2e1",0.345412611425308,0.346550526808292,0.318902161819453,0.704503875707637
"22068","22068","Trpc6",-0.248305619884564,0.139582413570184,0.0752532631021603,0.35343993318849
"268709","268709","Fam107a",3.05886123903649,1.87147871318246,0.102161834323879,0.418543789204685
"117160","117160","Ttyh2",1.13236724684882,0.601550446837607,0.0597797669785414,0.311004124572313
"72709","72709","C1qtnf6",0.561561156045228,0.438893338085949,0.200723340919338,0.583162612753393
"12490","12490","Cd34",-0.10190274823601,0.866540450862958,0.906386807601035,0.967121144528819
"16542","16542","Kdr",-0.139235961103944,0.269993729033161,0.606063450017577,0.850116596107459
"77889","77889","Lbh",-0.703058294741126,0.365903368743546,0.0546773180713537,0.295648991695813
"103098","103098","Slc6a15",-0.518961256415092,0.383050083382306,0.175477123873989,0.545261279544259
"27355","27355","Pald1",0.0143604424049946,0.545558509776113,0.979000140109872,0.99235670544323
"67416","67416","Armcx2",-1.37120911000502,0.29749189321646,4.04159426660254e-06,0.000332644989188335
"56720","56720","Tdo2",-0.0596516722184721,0.25211118420897,0.81296045432803,0.929896137353118
"114249","114249","Npnt",0.81064173649356,0.97704199357872,0.406714212898027,0.756649923535225
"68659","68659","Gask1b",0.131395646947696,0.661244390412986,0.842489868367883,0.942761399174997
"15245","15245","Hhip",0.365582809296998,0.349215839992781,0.29516056641447,0.6900775700348
"58203","58203","Zbp1",0.101842581089775,0.0729761569593384,0.162847136111794,0.527372298671559
"381738","381738","Drc1",0.329753162565147,0.241703024637484,0.172476125708288,0.541252134214707
"74127","74127","Krt80",-0.121189608066322,0.0391859525524394,0.00198357961383845,0.0363964202355371
"219228","219228","Pcdh17",-1.04286807663052,1.0563826708277,0.323541305743486,0.707912084692342
"54195","54195","Gucy1b1",-1.50325063632756,0.474223731234415,0.0015248163640994,0.0305760816725128
"107999","107999","Gtpbp6",-0.237403890803741,0.590629463684286,0.687720353276121,0.882931006623188
"12552","12552","Cdh11",-0.51766229794888,0.361106202594718,0.151701905906779,0.507828226178441
"73173","73173","Pcdh18",0.150891067797136,0.438747781591272,0.730911711564771,0.896598701285961
"217304","217304","Cd300lb",0.0789701204614324,0.0749817941883348,0.292253647901417,0.686906017511111
"18163","18163","Ctnnd2",-0.269080561746404,0.287416418365221,0.349167875377627,0.725928917036934
"16949","16949","Loxl1",1.04711192416482,0.824249639455926,0.203948583746711,0.587688319412692
"60596","60596","Gucy1a1",-0.5959814401084,0.2102908225569,0.0045957534156946,0.0635955995182108
"12189","12189","Brca1",0.103041318624436,0.0485313054652268,0.0337376985725345,0.222730387550186
