"","Entrez","Gene_symbol","logFC","SE","P.Value","FDR"
"77630","77630","Prdm8",-0.0101608805975635,0.0176246022235338,0.564265867020317,0.863278425102958
"338370","338370","Nalcn",-0.0639766611194676,0.110159244917196,0.561398680253619,0.862672977161937
"140703","140703","Emid1",-0.069389504936309,0.0564363467986997,0.218877648700792,0.705993372307967
"208439","208439","Klhl29",0.122127209868781,0.0215276796055095,1.40292216995928e-08,1.42606439036972e-06
"93761","93761","Smarca1",0.0550450698793002,0.060772326907409,0.365063532460672,0.801835028957961
"63873","63873","Trpv4",0.535430316096538,0.465891862877455,0.250449287653849,0.732038814148582
"27528","27528","Nrep",-0.248637412939701,0.0925749155917643,0.00723570766178831,0.111469263240477
"16009","16009","Igfbp3",-0.0872188213457972,0.0156576485846472,2.54205877793118e-08,2.39942103539171e-06
"12832","12832","Col5a2",-0.283950069619851,0.0912095113352324,0.00185093804024185,0.040765196504808
"69564","69564","Nmrk2",0.103509310972405,0.0551517645278753,0.0605443189184326,0.418339779572288
"71354","71354","Wdr31",0.0308074492775475,0.0249220181146078,0.216401371933598,0.703639850848772
"12765","12765","Cxcr2",-0.17816631274888,0.130306137559523,0.171534343311208,0.652544229828982
"56523","56523","Pmfbp1",0.193647095598248,0.169327754012585,0.252780064112651,0.733963208616152
"17690","17690","Msi1",-0.180384677983314,0.207427126993808,0.384503097422282,0.808574381105708
"327900","327900","Ubtd2",-0.0296024421841419,0.0302094900641464,0.32713282144003,0.78768821634418
"235281","235281","Scn3b",0.118496599579436,0.12859941757245,0.356820946952286,0.799242974913897
"14314","14314","Fstl1",-0.0673507086294297,0.138232026370907,0.626095765874788,0.882380310082875
"73230","73230","Bmper",-0.0310679255917436,0.0125892821280804,0.013594338185717,0.173371066218422
"20201","20201","S100a8",2.31672372167966,2.50686603409793,0.355407501992134,0.799105554229783
"12842","12842","Col1a1",-0.44387090681957,0.167107853170978,0.00790280945989102,0.11957775178942
"213417","213417","Klhdc8a",0.75383310246137,0.881333260677709,0.39236702409901,0.811510318423549
"22671","22671","Rnf112",-0.217203673145041,0.24620576044322,0.377666572902855,0.807420700206763
"105785","105785","Kdelr3",-0.135734705789834,0.0769881674666216,0.0778904861890727,0.468801392837369
"15203","15203","Heph",0.00857226360439587,0.0198388760546211,0.665672937992245,0.894119693801985
"104582","104582","Rprml",0.706703506219839,1.01769060624772,0.48741959686871,0.841184836150283
"50722","50722","Dkkl1",-0.963709002584851,1.13107103871633,0.394196192492588,0.811510318423549
"74182","74182","Gpcpd1",-0.42647242181382,0.172993518413987,0.013691735136596,0.173598940276691
"68591","68591","Mocos",0.0669545459270754,0.0453754848411444,0.140060300451306,0.605740978994706
"56312","56312","Nupr1",-0.0109819526118321,0.0741648294218586,0.882283626970804,0.965936837374427
"93671","93671","Cd163",0.070493013236071,0.0857356113231697,0.410955156627041,0.81793687621527
"12831","12831","Col5a1",-0.304624852230839,0.0733760847581297,3.30223868051747e-05,0.0014026258795498
"77772","77772","Dcst1",0.0775014819870185,0.188019285812575,0.680193100755949,0.898386170290407
"20519","20519","Slc22a3",-0.0105005343651053,0.0508326443898588,0.836345153456762,0.949151794114601
"17390","17390","Mmp2",-0.0496830966580863,0.0769876105742719,0.51870761664305,0.847879949105767
"235380","235380","Dmxl2",-0.00102281646413935,0.122378899158953,0.993331530435476,0.998368654596818
"12825","12825","Col3a1",-0.392848282672481,0.109336280960292,0.000326857865469432,0.00996748870263578
"18675","18675","Phex",-0.110343235773316,0.289895431821038,0.703476953119537,0.903936542851452
"17474","17474","Clec4d",0.0943649835809508,0.0950561515306381,0.320842113638424,0.78427150972909
"20538","20538","Slc6a2",0.0555338794474424,0.089116623695078,0.533179648206767,0.852607483301336
"22771","22771","Zic1",0.316699761811979,0.359900262905447,0.378878079208647,0.807420700206763
"12877","12877","Cpeb1",0.0915010921237909,0.060868449854464,0.132772069094752,0.594744666889947
"69183","69183","C1qtnf2",-0.184816335561517,0.073195440232188,0.0115707964679771,0.156022088881691
"66873","66873","Tril",-0.0604183865256847,0.0516454382152525,0.242053773702455,0.727213109685514
"69671","69671","Tmem52",0.0273825868578034,0.0633118617812278,0.66537568059312,0.894119693801985
"16176","16176","Il1b",0.0516112009511913,0.0776605774834289,0.506323000841336,0.844189571930368
"30878","30878","Apln",-0.0634530443902368,0.14195899674805,0.654888422059629,0.891883013331034
"11610","11610","Agtrap",0.0892446514054064,0.0490005612335343,0.0685614858734279,0.443394100866057
"14262","14262","Fmo3",0.00125952807689729,0.0361015408456587,0.972168662428738,0.991608824234241
"70574","70574","Cpm",-0.0220087421709656,0.0434288870913811,0.612311602180955,0.878646462926894
"18596","18596","Pdgfrb",-0.0938410939128255,0.027624740073657,0.000681303018896303,0.0183319837188546
"69327","69327","1700007K13Rik",0.921685290647378,1.21301943230927,0.447357816979936,0.828480196203634
"12843","12843","Col1a2",-0.356746542966953,0.357524920590948,0.318365257402224,0.783916771487505
"13717","13717","Eln",-0.250709589304033,0.126006470956165,0.0466287917319661,0.367730854775618
"244958","244958","Mrap2",0.00102376726199181,0.0917109141477622,0.991093414178252,0.99755196130856
"246728","246728","Oas2",0.321711041190427,0.362896936698065,0.37534383976808,0.807080868986038
"22402","22402","Ccn4",-0.142847729912752,0.12592365223644,0.256627002801192,0.738676001051064
"240168","240168","Rasgrp3",0.00644742479533333,0.092916619662284,0.944679697794008,0.983426841717502
"20272","20272","Scn7a",-0.0593750881369319,0.0449272940361494,0.186307491531623,0.674712240190497
"13655","13655","Egr3",0.0626827221054178,0.0598962551376331,0.295320298084628,0.76708093914978
"56496","56496","Tspan6",-0.119821367217271,0.0718411966768471,0.0953426679445449,0.515502971483494
"12289","12289","Cacna1d",-0.0229422237097728,0.0381093937574343,0.547167697972955,0.855717519023368
"68481","68481","Mpzl1",-0.0568370682727752,0.0110199587464435,2.50071160456664e-07,1.89432886070771e-05
"381925","381925","Plpp4",0.18009799234533,0.0846028589472126,0.0332752859040911,0.306539872391445
"22068","22068","Trpc6",-0.0756423857339287,0.0794609414564229,0.341125260122664,0.79122199133263
"268709","268709","Fam107a",0.123142787121305,0.0627264106563063,0.0496260915673612,0.378820992946487
"72709","72709","C1qtnf6",-0.160292711614114,0.180033061183502,0.373277159466418,0.805360330240769
"12490","12490","Cd34",-0.16573709180746,0.0434420275060144,0.000136109870633562,0.00469204258389841
"16542","16542","Kdr",-0.0927738189012836,0.0138797566883123,2.32332428916816e-11,4.32467993647547e-09
"27355","27355","Pald1",-0.040268251662785,0.0593429374412527,0.497411268753924,0.841984266320086
"67416","67416","Armcx2",-0.153236581731009,0.12227687791945,0.21013531539296,0.695086959248049
"56720","56720","Tdo2",-0.0807435404813486,0.0913656034770432,0.376835979018257,0.807420700206763
"114249","114249","Npnt",0.164161135335851,0.112419133304168,0.144218699961504,0.612370299090617
"68659","68659","Gask1b",0.218382148605559,0.307290895096415,0.477289302499504,0.837705083273291
"15245","15245","Hhip",-0.0576947191923364,0.113297847076842,0.610590667504341,0.877765599979346
"58203","58203","Zbp1",0.0317763065004568,0.0880178639329237,0.718083670020627,0.910429413788456
"381738","381738","Drc1",0.251942002643531,0.371517139343623,0.497680593473132,0.841984266320086
"219228","219228","Pcdh17",-0.170028781983674,0.159925165028723,0.28770162033803,0.760870662815253
"54195","54195","Gucy1b1",-0.0738404881711668,0.0452400866083701,0.102639135249172,0.53050292721356
"107999","107999","Gtpbp6",-0.099121379588748,0.0722930612947351,0.170342218861966,0.650780600361504
"12552","12552","Cdh11",-0.0589550940133495,0.0270112147908613,0.0290641429891696,0.281948839880635
"73173","73173","Pcdh18",-0.0385023416653532,0.0777714147736579,0.620550279676955,0.881270067574306
"18163","18163","Ctnnd2",-0.723818153841852,0.842147944399787,0.39006996162142,0.810181986301702
"16949","16949","Loxl1",0.0460301615826259,0.151699710973825,0.76156259643928,0.926093491802325
"60596","60596","Gucy1a1",-0.0586934051051508,0.0199453537768621,0.00325352347521644,0.0621093975774464
"12189","12189","Brca1",-0.0165020090004712,0.0642212955576588,0.797213199166292,0.937164857130448
"14086","14086","Fscn1",-0.0544321479496444,0.0541298512800489,0.314615407352229,0.781476636577644
"218639","218639","Arl15",-0.0410323070006749,0.146426223880686,0.779304791021792,0.93108890399789
"67198","67198","Spats2l",-0.14586777970941,0.0442966819494332,0.000991339776487646,0.024848725138163
"211187","211187","Lrtm2",0.12463785055881,0.14919136355436,0.403479757719675,0.813936722427923
"16000","16000","Igf1",-0.239383998719144,0.0800093656801551,0.00277201920236796,0.0553148059962452
"20264","20264","Scn10a",-0.934019759494723,1.15789447211002,0.419866076154548,0.822565232590529
"66569","66569","Gdpd1",-0.000855920134202396,0.0681256312958685,0.989975762702948,0.9973555057879
"71690","71690","Esm1",-0.019436634763939,0.106288573688143,0.854902655775494,0.954927434155277
"17285","17285","Meox1",-0.0975758213263647,0.0407785692075441,0.0167193905893994,0.199242196673073
"107815","107815","Scml2",-0.28881846465677,0.414077529854626,0.485490864649453,0.841076448053873
"17242","17242","Mdk",-0.0451115487649356,0.0637745204146734,0.479342748835518,0.837976650950282
"66412","66412","Arrdc4",0.0578104957373719,0.0448537284151663,0.19744428680404,0.688317324209924
"20408","20408","Sh3gl3",-0.208726733642793,0.306116276339425,0.495331014145437,0.841984266320086
"67141","67141","Fbxo5",-0.137150552608929,0.0716419976252283,0.0555706474990228,0.401276084217291
"18795","18795","Plcb1",-0.0542566076978124,0.0365458307343946,0.137644975145596,0.6022388395826
"53325","53325","Banp",0.0613863455379645,0.10447183678887,0.556809202364296,0.860459740886683
"12834","12834","Col6a2",-0.134719753060145,0.0834939202134033,0.10662991019544,0.538945817846609
"226518","226518","Nmnat2",-0.0737505334634087,0.188760946873765,0.696012609274289,0.90214391179132
"17161","17161","Maoa",0.063601152133178,0.0495757457648723,0.199524088636708,0.691060769434407
"77015","77015","Mpped2",0.219955691909798,0.0768617389161366,0.00421367704667273,0.0741320430711224
"17534","17534","Mrc2",-0.143111014716209,0.0846924963400267,0.0910715694607485,0.504243098508697
"16431","16431","Itm2a",-0.132089824897119,0.0764669386079457,0.084093890547087,0.484793330235824
"13804","13804","Endog",-0.111403449579447,0.0861929629500444,0.196187880647754,0.687550765426254
"76574","76574","Mfsd2a",-0.0321133690921088,0.173067032875328,0.852794126927667,0.954476630958396
"12827","12827","Col4a2",-0.151504183417353,0.0819459825194465,0.0644823771134451,0.432050090709973
"12826","12826","Col4a1",-0.243741689876471,0.082487621023746,0.00312782473987948,0.060563530230046
"12494","12494","Cd38",-0.0735056514386005,0.0162755425743134,6.29218583748235e-06,0.000340149846205353
"17215","17215","Mcm3",0.0186000042027993,0.0713452951529243,0.79432077709732,0.936723550026616
"239318","239318","Plcxd3",0.559121644475592,0.612230765296463,0.361109442401616,0.799610490283898
"69234","69234","Zfp688",-0.0801947133624827,0.104092399752729,0.44105166644961,0.826702660149551
"14696","14696","Gnb4",-0.130488727015633,0.082493626693092,0.113694381566252,0.555902952207508
"16367","16367","Irs1",-0.11752387650309,0.0356118209716722,0.000966377521794051,0.0244534635461631
"56695","56695","Pnkd",-0.0127783166209679,0.00685270149245846,0.0622217446248885,0.423394945874988
"19362","19362","Rad51ap1",0.448066512501579,0.448266863902125,0.317526852238359,0.783197862014873
"243912","243912","Hspb6",-0.203547987434248,0.301095823579416,0.499025440357737,0.842185109225548
"100503659","100503659","Cbarp",0.0220775240460045,0.10077804444684,0.82659491795449,0.947354086849065
"26950","26950","Vsnl1",0.326802436329386,0.181741370971894,0.0721495880446265,0.4544889039273
"66771","66771","Gid4",-0.145163107430422,0.0457226133516771,0.00149906422706911,0.0345511063033584
"67448","67448","Plxdc2",-0.0515846895124969,0.0459230999094732,0.261316840014831,0.742259655671456
"21923","21923","Tnc",-0.15060889419714,0.107444085542895,0.160992284807092,0.635135906204509
"20377","20377","Sfrp1",0.205309274646405,0.0769248052657499,0.00760863743570226,0.116378557590009
"230828","230828","Il22ra1",-0.328504220650537,0.758723125076578,0.665036689809138,0.894119693801985
"53608","53608","Map3k6",0.00191669831715072,0.0249945700207364,0.93887446501896,0.982273913755837
"52589","52589","Ncald",0.0355465237390383,0.128942728151967,0.782796286160219,0.931946661560821
"68939","68939","Rasl11b",-0.00430108831168116,0.0351437076090171,0.902593539339224,0.969609336406954
"12575","12575","Cdkn1a",0.743059584594774,0.581003734993535,0.200923842152745,0.691539944605012
"241989","241989","Pabpc4l",0.903129137376805,1.22428773659881,0.460710636355259,0.830823938921128
"24084","24084","Tekt2",0.843137257438843,1.05213929574651,0.422926063984347,0.822885761019716
"69640","69640","Fam83g",0.187424982846462,0.117592640722528,0.110969726184257,0.548523734277662
"22193","22193","Ube2e3",0.0186970290782698,0.0276922270306844,0.499566200842962,0.842185109225548
"19038","19038","Ppic",-0.230941171610188,0.0609812393680435,0.000152424619539831,0.00517938857196346
"231633","231633","Tmem119",-0.0274421485503364,0.130095888341142,0.832935759112837,0.948874571071417
"12182","12182","Bst1",-0.0459275779062337,0.0591727015201702,0.43765358379267,0.825917716854263
"108927","108927","Lhfp",-0.0607297599821276,0.0319929167817166,0.0576664261463167,0.408924664220959
"109079","109079","Sephs1",-0.0168539033106774,0.00541931942603609,0.00187108394867154,0.0411327197810548
"106369","106369","Ypel1",0.116030970753665,0.0686566046597251,0.0910243074738404,0.504243098508697
"387314","387314","Tmtc1",0.135052713425828,0.0846352009638913,0.110554935522797,0.547389612061875
"67216","67216","Mboat2",-0.135717928994812,0.0967540450378533,0.160703141465556,0.635135906204509
