"","Entrez","Gene_symbol","logFC","SE","P.Value","FDR"
"338370","338370","Nalcn",0.753065979604963,0.775148178460139,0.331293237562527,0.716202288809347
"102680","102680","Slc6a20a",-0.0214347498000074,0.235266437022443,0.927406454289233,0.980858218830998
"140703","140703","Emid1",-0.785261395209045,0.502395066286223,0.118044211583546,0.485078641507124
"208439","208439","Klhl29",0.114517077619612,0.179885474020724,0.524378236161915,0.828920313403252
"12069","12069","Bex2",-0.191259997309029,0.0720387255178078,0.00793176089191821,0.116263679154231
"63873","63873","Trpv4",0.325053159233304,0.363379897060905,0.371039946025487,0.74222200051698
"27528","27528","Nrep",-1.99530827099101,0.447428055480117,8.21486256037451e-06,0.000718770831064246
"16009","16009","Igfbp3",-0.318922535198835,0.195534665825514,0.102884389626278,0.457516058110232
"17387","17387","Mmp14",-0.698490806255094,0.479418899408263,0.145129353018165,0.530677814194676
"12832","12832","Col5a2",-0.382481642335571,0.508028028544611,0.451524984649691,0.794041331089464
"71354","71354","Wdr31",0.128182065659546,0.0990892944332194,0.195803084042739,0.606088086201675
"56523","56523","Pmfbp1",-0.00718125542564446,0.647069355729156,0.991145160621771,0.997486047776822
"12986","12986","Csf3r",0.772170482669105,0.209011374082473,0.000220411332347349,0.00997700774999777
"17690","17690","Msi1",-1.15263387538382,0.60658584867386,0.0574069981595435,0.350515907227769
"235281","235281","Scn3b",-0.670964018826661,0.505805601098151,0.184665700342042,0.590315520334351
"14314","14314","Fstl1",-0.421332823075349,0.394428905492071,0.285425884187349,0.677279079820917
"73230","73230","Bmper",-0.411231411152923,0.370480619649723,0.26700144191206,0.664615786213731
"12842","12842","Col1a1",-1.47157629651395,1.3404638394098,0.272286913606763,0.667671632349405
"213417","213417","Klhdc8a",-0.311357105726838,0.258956338030999,0.229226527702762,0.633490325835961
"105785","105785","Kdelr3",0.0538473881002531,0.590970679848304,0.927399742211346,0.980858218830998
"15203","15203","Heph",0.0631301971165098,0.170867699623985,0.711778703290305,0.908822479901746
"74182","74182","Gpcpd1",-0.291191082481967,0.14149217778984,0.0395900108811494,0.287896113144766
"68591","68591","Mocos",0.444782122659708,0.260205101640236,0.0873857581228395,0.428553823431504
"93671","93671","Cd163",0.969984104674427,0.302568605785693,0.00134672611761576,0.0366455303400231
"12831","12831","Col5a1",-0.806560157208225,0.443952151806701,0.0692519219657991,0.384997151743508
"20519","20519","Slc22a3",-0.618854969500511,0.603205551555624,0.304918095870482,0.695039128595987
"17390","17390","Mmp2",-0.442595547650646,0.494222910899871,0.370499399124767,0.74222200051698
"235380","235380","Dmxl2",-0.173695406118052,0.128752202141603,0.177315299422143,0.5783942707585
"12825","12825","Col3a1",-0.996158487934053,0.777514067306941,0.200120054722247,0.607086142066976
