"","Entrez","Gene_symbol","logFC","SE","P.Value","FDR"
"100017","100017","Ldlrap1",0.178238108391374,0.0576571486963094,0.00199252327398634,0.00763656827663452
"100019","100019","Mdn1",-0.107379873961218,0.0690222354848319,0.119772614519052,0.22088325521636
"100034251","100034251","Wfdc17",-0.193378896166716,0.164736775519751,0.240448711538197,0.376374220795292
"100034361","100034361","Mfap1b",0.570590832330648,0.0590316699254983,4.21139685620774e-22,4.26926337789609e-20
"100037258","100037258","Dnajc3",-0.203061742304451,0.0650363754916946,0.0017945647495442,0.00700935878645499
"100037282","100037282","Rsph3b",-0.0560490451447992,0.0801419082798357,0.48431928168765,0.624018634016881
"100037283","100037283","Rnaset2a",0.17274214756285,0.0966444959612008,0.0738732368434341,0.152476932744918
"100038347","100038347","Fam174b",0.0278321937175354,0.0709538194436313,0.694867692943117,0.798049205421136
"100038882","100038882","Isg15",-0.341425229194539,0.205910777842687,0.097292806569194,0.188173933095238
"100038948","100038948","Mup9",0.571751285591429,0.096213367149317,2.8064799461566e-09,4.42637217161041e-08
"100039008","100039008","Mup10",0.646498644261838,0.37370008616179,0.0836314727729631,0.167464710257079
"100039028","100039028","Mup11",0.872554787867921,0.168698890861354,2.31277533190338e-07,2.42471642642493e-06
"100039795","100039795","Ildr2",-0.802483659059192,0.203443248110126,7.9963755698485e-05,0.000467599592988058
"100039796","100039796","Tgtp2",-0.513422925355449,0.232040172076217,0.0269220114272279,0.0680698013903091
"100039968","100039968","Tmem35b",-0.345558526579949,0.115957809764345,0.00288213868570923,0.0104518846931236
"100040462","100040462","Mndal",-0.546105461313322,0.158296984717604,0.000560837634290294,0.00260864770375494
"100040563","100040563","Dynlt1c",0.0922411753840555,0.0941081281379432,0.327006345994636,0.472437366711136
"100040608","100040608","Fancf",0.044045323320634,0.0500149587384277,0.378511076907246,0.52360698972169
"100040766","100040766","Mroh2a",-0.161698171378954,0.096256920753007,0.0929845165546044,0.181566590184553
"100041658","100041658","Mup7",0.00533309161932576,0.00105120067495273,3.9090647866291e-07,3.88565721305647e-06
"100042165","100042165","BC005561",-0.201914551350124,0.128174784987426,0.115185751397669,0.213999269524489
"100042480","100042480","Nhsl2",0.106409271662854,0.0834528063570154,0.202279793832656,0.329666998692838
"100042889","100042889","C920021L13Rik",0.35312175479349,0.0988379415407452,0.000353272463203483,0.00175447206856479
"100043133","100043133","9130023H24Rik",-0.517097468992469,0.112912514282833,4.65800557012411e-06,3.74671798735604e-05
"100043272","100043272","Inafm2",0.0259818614634775,0.108519074420803,0.81077831797063,0.879788942241651
"100043468","100043468","Zfp955b",0.0547874750269923,0.0666239112073287,0.41088369149144,0.554460729769549
"100043597","100043597","Srcap",0.0704564480021888,0.0515427443201674,0.171640408656812,0.290912322899724
"100072","100072","Camta1",0.166113488477449,0.068947228253788,0.0159838324733158,0.0443976773155478
"100087","100087","Kti12",0.134326445128469,0.068644568066171,0.0503662679500333,0.112451923062616
"100088","100088","Rcc1",0.0336779437977682,0.0741208254117476,0.649565799872124,0.760985213436734
"100090","100090","Zbtb48",0.0792362025968396,0.0724790146640057,0.274293013650406,0.416488820178069
"100102","100102","Pcsk9",-0.390672371517897,0.11926051885866,0.00105367012360463,0.00446481788177074
"100121","100121","Tdrd7",-0.114914323859364,0.0693425399488158,0.0974794352108721,0.188404438888136
"100129","100129","Gpr153",0.251063828089957,0.118816520282028,0.0345975114457202,0.0833402778884753
"100163","100163","Pafah2",-0.0873894443096775,0.0430103188317241,0.0421713677015636,0.0977033780664279
"100169","100169","Phactr4",-0.0653532998066051,0.0540598961504273,0.226699195401993,0.360546744304008
"100177","100177","Zmym6",-0.131430986163843,0.086630375068913,0.12922965415077,0.234151635034609
"100182","100182","Akna",-0.172762347257633,0.0484907257135383,0.000366932053003485,0.00181147125051535
"100198","100198","H6pd",-0.021108548345753,0.0728736063067552,0.772076575109098,0.85322260736094
"100201","100201","Tmem64",-0.123042267538641,0.0935432192413105,0.188391604212678,0.313239076492346
"100206","100206","Adprhl2",0.164394128339318,0.0676423578342349,0.0150845413539615,0.042306802361269
"100210","100210","Gpn2",0.720837989079741,0.0573678364128464,3.28069682728429e-36,1.0373250920556e-33
"100213","100213","Rusc2",0.692631980691138,0.0569064183586279,4.41331239526288e-34,1.22101642935606e-31
"100226","100226","Stx12",0.136396107216495,0.0556989581104352,0.0143329449701883,0.0404723600263875
"100273","100273","Osbpl9",0.0937703189892354,0.0529238251447097,0.0764281215344763,0.156292801659662
"100317","100317","AU040320",0.00382928997636294,0.0258170144882881,0.882086857963172,0.926383034697582
"100336","100336","Ppp1r8",0.136775672812762,0.0428408174315384,0.00140974421764358,0.00570600524544552
"100340","100340","Smpdl3b",-0.0924481462923732,0.102226978308851,0.365814101911267,0.510939343014475
"100383","100383","Bsdc1",-0.143617064493913,0.0433444384582224,0.000921720853586268,0.0039871182200735
"100416706","100416706","Zfp729b",-0.0485008934969869,0.0971053994289631,0.617450784776622,0.736007488868109
"100434","100434","Slc44a1",0.0641107602104257,0.0389595969717472,0.0998522340673062,0.191845727490426
"100465","100465","Mob3c",0.254813545106685,0.0338532248044813,5.19155897353058e-14,1.80010191040434e-12
"100494","100494","Zfand2a",-0.193687509850797,0.0574870316285968,0.000753762255406093,0.00335904790328621
"100502698","100502698","Rubcn",-0.059328018447759,0.0484218134470894,0.2204873298831,0.3525673378504
"100502841","100502841","Epg5",-0.112331462968618,0.0677540925086506,0.0973318333156017,0.188173933095238
"100503043","100503043","Armcx4",-0.101556100399719,0.232334299215772,0.662030155617536,0.771274714150441
"100503659","100503659","Cbarp",-0.00159998743866977,0.0981885312039305,0.986999003188238,0.991403582356841
"100503670","100503670","Rpl5",-0.00662994742990743,0.0617417458932203,0.914485994594249,0.947537708702204
"100503890","100503890","Pet100",-0.106428906888083,0.0604711804176701,0.0784088458229056,0.159410513246814
"100504309","100504309","Smim27",0.392076317446487,0.139174266708162,0.00484502305771928,0.016231560597001
"100504404","100504404","H2-Ea-ps",0.232449279687087,0.162220679786419,0.151880660079436,0.265321647705197
"100504663","100504663","Atg14",0.0184271429865593,0.0741373034008465,0.803705589257025,0.875804554699238
"100504714","100504714","Gm16793",-0.265848250827623,0.124262478420967,0.0324025677170121,0.0789262838007925
"100515","100515","Zfp518b",0.00831458125874441,0.0856673053631494,0.922681410399295,0.952741554319465
"100532","100532","Rell1",0.457167333673006,0.103939344979661,1.09049345927343e-05,8.07232616452126e-05
"100559","100559","Ugt2b38",0.0681637649593072,0.0313192074434893,0.0295238326860962,0.0733538817720033
"100561","100561","Slc15a4",0.536974475447867,0.0515589164895023,2.1230067741484e-25,3.0315623613646e-23
"100604","100604","Lrrc8c",0.0200264584170088,0.0488355488776007,0.681747615925365,0.787681254523129
"100608","100608","Noc4l",-0.00472552014061944,0.0475916199655491,0.920905545733029,0.951938411969539
"100609","100609","Nsun5",0.138880921282609,0.0339630236071712,4.32900588680072e-05,0.000275199608313612
"100637","100637","N4bp2l1",-0.17928161607345,0.153991881878018,0.244331743238283,0.38074695496414
"100647","100647","Upk3b",0.0943229440467596,0.0670594714066088,0.15955890139936,0.275330328818022
"100662","100662","D930016D06Rik",-0.499375099399026,0.154203180935625,0.00120192537826318,0.00497710290718273
"100678","100678","Psph",-0.0494574785310788,0.0333619018477495,0.138219584982972,0.246454793025311
"100683","100683","Trrap",-0.0494134347551315,0.0706945082376935,0.484569945458726,0.624045763976483
"100689","100689","Spon2",-1.52055355106468,0.188899451268165,8.31062903731351e-16,3.80569495225943e-14
"100705","100705","Acacb",-0.229343061057004,0.163316906707131,0.160234766985254,0.276281187427184
"100710","100710","Pds5b",-0.0323399749601524,0.0415446700010839,0.436310487490266,0.579761540103522
"100715","100715","Tent2",0.159146201164994,0.0645166437800531,0.0136346870293742,0.0388559321352123
"100727","100727","Ugt2b34",-0.219249032295514,0.0607148435550362,0.000304868901691821,0.00153941407394197
"100732","100732","Mapre3",-0.0203201830302973,0.0359601204725679,0.57202241248357,0.700780224887621
"100737","100737","Dcun1d4",0.284791531907727,0.0558739223978111,3.45008238381577e-07,3.50820015750945e-06
"100756","100756","Usp30",0.0835136298142334,0.0379947486584673,0.0279469073486503,0.0701403324145183
"100763","100763","Ube3c",-0.0229009798167365,0.0305603687780868,0.453635089862769,0.595401659752676
"100764","100764","Rita1",0.0277151650562417,0.0270971286173806,0.306398545259281,0.450385688051325
"100855","100855","Tbc1d14",-0.0608842251762908,0.0295632456098664,0.0394505058951812,0.0924969488502836
"100900","100900","Hscb",0.0194949293904549,0.0265904825306968,0.463464260998812,0.604642009922861
"100910","100910","Chpf2",-0.180004731732075,0.0701905005698221,0.0103319518812063,0.0308264617077314
"100929","100929","Tyw1",0.0779538408853903,0.0343712529015051,0.0233294916357431,0.0605345152252185
"100952","100952","Emilin1",0.113619591837169,0.0733842375911129,0.121554095869786,0.223423999052008
"100972","100972","Rab28",-0.0848405502813647,0.0319776206844512,0.00797508822909431,0.024814707516957
"100978","100978","Nfxl1",-0.357853403791879,0.0897589598163519,6.69629430409296e-05,0.00040293062237587
"100986","100986","Akap9",-0.264887044050384,0.0776682516070624,0.000648455008275269,0.00294812821290502
"101023","101023","Zfp513",-0.0985930606539932,0.030213596291291,0.00110161062615768,0.00462370073178698
"101095","101095","Zfp282",-0.00903660236991371,0.0589443148639317,0.878155829005755,0.924081569666912
"101100","101100","Ttll3",0.0234095707390178,0.0799587735449308,0.769697572292027,0.851473628255524
"101113","101113","Snx21",0.0356633613682423,0.0680403095775379,0.600173875912498,0.723127297415893
"101118","101118","Tmem168",0.0649354584247386,0.0298246841914661,0.0294627577469205,0.0732158351195929
"101122","101122","Rpusd3",0.849840370453723,0.0983824224287686,5.71394799121642e-18,3.40274570956745e-16
"101142","101142","Itfg2",0.113286669030294,0.0368946002395961,0.00213665794980077,0.00810477508521971
"101148","101148","Bmt2",-0.00726601158278009,0.0374598329768066,0.84620088187625,0.903339848176576
"101185","101185","Pot1a",0.00963053622170169,0.0274713381372422,0.725913446087912,0.818993719247794
"101187","101187","Parp11",-0.333215927739848,0.0793270152511074,2.66284645689132e-05,0.000177434023820957
"101197","101197","Zfp956",0.0255666970468221,0.0382436226854913,0.503800544902941,0.641771821228878
"101206","101206","Tada3",-0.0585407612379186,0.0410336707152634,0.153680277942588,0.267515282616014
"101214","101214","Tra2a",0.316918255056874,0.0624934311009254,3.95262954974567e-07,3.923088222767e-06
"101240","101240","Wdr91",0.0634264802550662,0.0983548268671636,0.519008778504924,0.655361469862641
"101314","101314","Brk1",-0.130655372905942,0.0407020384411393,0.00132714217397554,0.00543628873238593
"101351","101351","Eogt",-0.0626413864236655,0.033036504978202,0.0579433437594459,0.125651143880706
"101358","101358","Fbxl14",-0.0181408552262324,0.0564388190160794,0.747888235135581,0.835493624608457
