"","Entrez","Gene_symbol","logFC","SE","P.Value","FDR"
"100017","100017","Ldlrap1",-0.371929646748968,0.117597676490934,0.00156297457270918,0.0295084238889215
"100019","100019","Mdn1",-0.115470342323465,0.483309574782363,0.811170795669,0.963672403980588
"100034251","100034251","Wfdc17",-0.348428451485604,0.337827183164528,0.302362307258387,0.717887496551105
"100034361","100034361","Mfap1b",0.0128219382833916,0.924711185918561,0.988936979524559,0.998366289674008
"100036521","100036521","Umad1",0.156524459181895,0.118703539354031,0.187297316400334,0.605918951767446
"100037258","100037258","Dnajc3",0.231917683051028,0.152137708945409,0.127410527481395,0.507677540276011
"100037278","100037278","Fam129c",-0.749658482578708,0.445630357954401,0.0925217584829922,0.437254914431481
"100037282","100037282","Rsph3b",0.296447401953507,0.860009553834726,0.73031807456482,0.940801744978051
"100037283","100037283","Rnaset2a",0.621060869425314,0.324550456743466,0.0556708456008872,0.326497006540617
"100038347","100038347","Fam174b",-0.972423483428897,0.283297326976572,0.000598001777622357,0.0145366667084216
"100038378","100038378","Gm10433",0.752975178834023,0.415676334383071,0.070071861087235,0.37464282970951
"100038514","100038514","Gm11837",0.330046445508057,0.311103770684655,0.288740528091067,0.707673880743251
"100038538","100038538","Gm10767",0.121431492992703,0.380640225423331,0.749712047452902,0.945883078107596
"100038712","100038712","Gm10516",0.561491223884417,0.474841770787332,0.237015023788024,0.663192951740729
"100038725","100038725","Cep85l",-0.547390275517147,0.619270012426504,0.376734931200717,0.779876516457559
"100038882","100038882","Isg15",-0.866401896156212,1.05971618537886,0.413597516520478,0.807279873315501
"100038948","100038948","Mup9",1.234521949253,0.751494069491768,0.100433273586823,0.455059288826963
"100039008","100039008","Mup10",0.347189923974686,0.501793406567365,0.489001299665741,0.841855950180965
"100039028","100039028","Mup11",-0.210229767678498,1.00747093683405,0.834705235521659,0.971524009500701
"100039054","100039054","Mup12",1.38827449453379,1.80133386807698,0.440889220980877,0.820400524609481
"100039116","100039116","Mup14",1.55900499112515,0.893687705409975,0.0810784159643736,0.407201964510907
"100039123","100039123","Gm14295",0.645128736943931,0.230095940231699,0.00505139309728762,0.0703130221688869
"100039138","100039138","Gm2061",0.0327495187578986,0.518659812052666,0.949652967863081,0.991827979368718
"100039139","100039139","Ccdc152",0.307083258699511,0.296543177909556,0.300415322458906,0.715993632098977
