"","logFC","P.Value","SE","AIC","BIC","FDR","symbol","Entrez"
"16601",-2.28650031243289,4.9450316440485e-06,0.259150157959857,25.4633218101178,26.3710770891,3.51378907367181e-05,"Klf9","16601"
"12558",-0.612917625855996,0.303648661209094,0.565225817484593,47.6984686811221,48.6062239601042,0.358903345310729,"Cdh2","12558"
"78923",-1.29025635796676,0.00164604283727893,0.302415141162491,34.2251179864132,35.1328732653953,0.00411979468457413,"Chsy3","78923"
"226041",-1.12088149870799,0.000142667879529065,0.188621010914339,24.9551306038438,25.8628858828259,0.000536156524901,"Pgm5","226041"
"170947",2.6494185906704,3.08909918342262e-08,0.174367735246657,22.977909181601,23.8856644605832,1.02414217037253e-06,"Myoz3","170947"
"67665",-0.283024162085195,1.21299155527357e-05,0.0354982370279971,-10.654351924065,-9.74659664508283,7.10474869814397e-05,"Dctn4","67665"
"67530",-0.736148016841608,0.00647293137355121,0.214819606427848,24.4208140907993,25.3285693697814,0.0130374405045511,"Uqcrb","67530"
"217578",-1.04948061472217,2.31767357809607e-07,0.0853331204238064,0.917707277170842,1.82546255615298,3.75498306140678e-06,"Baz1a","217578"
"56275",0.488821957171275,0.000340515156737457,0.091982601133942,7.74262275380503,8.65037803278717,0.00111336771458524,"Rbm14","56275"
"70417",1.58834716473934,6.87895254649051e-06,0.186808509884901,24.729038055491,25.6367933344732,4.5628641305581e-05,"Megf10","70417"
"52028",-0.150926364849933,0.154709146753906,0.0980373854635624,7.68602060099815,8.59377587998029,0.200544040887483,"Bbs1","52028"
"74316",0.40818827636559,3.76636022589752e-06,0.0448824739703679,-2.22175913822334,-1.3140038592412,2.82034189935556e-05,"Isca2","74316"
"240322",3.0790750972779,4.80630800235992e-11,0.10465936844742,13.4462947772079,14.3540500561901,5.6445628908233e-08,"Adamts19","240322"
"14245",-0.989352202088981,1.19599314456982e-05,0.123889359596206,17.2834202666306,18.1911755456128,7.03241644433401e-05,"Lpin1","14245"
"14119",-1.1448129183376,0.0106685807795605,0.365614063520264,37.9224608237417,38.8302161027238,0.0199106255418664,"Fbn2","14119"
"11474",1.23506809145346,2.22287475239394e-05,0.166112549427254,9.37037452931398,10.2781298082961,0.000115993994733588,"Actn3","11474"
"12677",1.04234415847338,5.19928514966838e-06,0.118802156961139,16.4719078154441,17.3796630944263,3.65793893000797e-05,"Vsx2","12677"
