"","logFC","P.Value","SE","AIC","BIC","FDR","symbol","Entrez"
"11303",0.110682817996727,0.792724754872725,0.41734219469166,103.087733491737,107.189620981697,0.860164939527526,"Abca1","11303"
"11306",0.541306025600025,0.00546745839728022,0.179780430659819,50.4378066790071,54.4344202095327,0.025277016732705,"Abcb7","11306"
"11307",-0.0281145437497727,0.932823523507962,0.33031994374659,100.429348232753,104.203637846817,0.957185776152963,"Abcg1","11307"
"11370",-0.574844668178501,0.00152412088521017,0.164237522242493,56.7025213998317,60.8044088897911,0.00948478310596468,"Acadvl","11370"
"11416",-0.750033382538226,4.39410012007711e-06,0.133180997373862,30.1368815738369,34.2387690637963,9.52072888212318e-05,"Slc33a1","11416"
"11418",0.01398285593769,0.928807505391995,0.15098506247011,16.7354511176432,16.5731815648092,0.954873449155166,"Asic2","11418"
"11419",0.183553359362181,0.323062416648853,0.179196807672512,37.3608395809759,39.2780115698217,0.476257049170276,"Asic1","11419"
"11421",0.847993415695685,0.0617828279546534,0.425734302744551,33.3089816751684,35.9800969488569,0.149357226380462,"Ace","11421"
"11426",0.121127421786295,0.341039156951219,0.125129145667179,37.1386934446886,41.240580934648,0.494311532857936,"Macf1","11426"
"11432",-0.48288818570587,0.00268876758238864,0.147131621100263,52.0186503610462,56.1205378510056,0.0146672808217068,"Acp2","11432"
"11433",1.75056970895077,1.45356425717946e-07,0.254269394094083,107.803680467108,111.905567957068,6.2080471531989e-06,"Acp5","11433"
"11435",-0.324443976295831,0.146342621721426,0.2166774547462,67.9444041058488,71.7186937199133,0.27496746022119,"Chrna1","11435"
"11441",-0.254378510144873,0.415158812858878,0.293723634275967,20.3569742267569,20.1947046739228,0.56096483596195,"Chrna7","11441"
"11444",0.938881596192088,0.0590908634957961,0.475614677691485,77.9203173603815,81.6946069744459,0.144709493002041,"Chrnb2","11444"
"11459",0.579316730908311,0.703891931509494,1.50751637758786,122.885808529658,126.660098143723,0.79666504950498,"Acta1","11459"
"11464",-0.153278508920771,0.723766804478037,0.426557972918003,44.8863978966022,47.3860379287709,0.811150243812608,"Actc1","11464"
"11468",-2.27327138345601,0.0164691347917142,0.892869801839434,148.468243501097,152.570130991056,0.0574458433662424,"Actg2","11468"
"11472",0.515829673171347,0.0101782556445941,0.182691468630251,39.102659584032,42.2362268972023,0.0404195502989501,"Actn2","11472"
"11475",-2.33622968448306,0.00148750593996644,0.665719739110287,121.592940046432,125.694827536391,0.00930581620964214,"Acta2","11475"
"11477",-1.05267337168648,5.67914926895041e-11,0.104573494351921,43.648495159485,47.7503826494444,1.15978672484416e-08,"Acvr1","11477"
"11479",0.792779004146839,0.00874982569246758,0.281974480570202,80.8327910338441,84.9346785238036,0.0360943006914492,"Acvr1b","11479"
"11480",-0.399607751219813,0.00525524903624686,0.132400973719128,56.5120408691804,60.6139283591398,0.0245581298335081,"Acvr2a","11480"
"11481",2.0193138057706,8.98393902123519e-06,0.375786237059224,76.2780243978952,80.3799118878546,0.000167841897571278,"Acvr2b","11481"
"11482",-1.36237283169166,0.00452749163136953,0.442681491522961,122.092145432521,126.19403292248,0.021971170409451,"Acvrl1","11482"
"11484",0.550500319793689,0.447664300904026,0.711410426847987,93.0488582579595,96.1824255711298,0.590208640112928,"Aspa","11484"
"11486",-0.111098533824691,0.827614928459917,0.505596306551271,96.5550219442256,100.656909434185,0.884944296698805,"Ada","11486"
"11487",-0.73362505201128,3.05723200506492e-06,0.127298798231595,53.0092607277303,57.1111482176897,7.07263555130057e-05,"Adam10","11487"
"11488",0.37634064702977,0.107432406204828,0.225701883545548,66.7355234210127,70.5098130350772,0.220741478089647,"Adam11","11488"
"11489",-1.79807927787888,1.66927803512369e-06,0.292317684120221,99.8517970403865,103.626086654451,4.41997956036402e-05,"Adam12","11489"
"11490",-1.29587421287917,0.000232937580963226,0.308667421140557,91.3645099571572,95.4663974471166,0.00217706575537803,"Adam15","11490"
"11502",-1.35407001035614,1.79200754381592e-06,0.195516884381296,33.8956212753284,36.5667365490169,4.65476579400255e-05,"Adam9","11502"
"11504",-1.41124253652246,0.00898411912761151,0.503897689164601,98.7138937445675,102.815781234527,0.0368002841301205,"Adamts1","11504"
"11541",-1.09526312012897,2.30489882876494e-05,0.21755312085188,89.8730630933774,93.9749505833368,0.000350009722142451,"Adora2b","11541"
"11545",1.2027223565615,1.7099127168978e-10,0.125475624862795,43.4083405428578,47.5102280328172,2.90176466751269e-08,"Parp1","11545"
"11546",0.496143047264499,1.81475545544766e-06,0.0833507081447946,20.8940313850583,24.9959188750177,4.69326931250926e-05,"Parp2","11546"
"11548",-0.475618644645426,0.177079276989239,0.338547072638226,74.3162030859148,76.9873183596033,0.315611050620237,"Adra1b","11548"
"11550",-1.41973470110955,0.00179310230730263,0.40635693483315,84.2425627804947,87.8991902550993,0.0107121885318917,"Adra1d","11550"
"11551",0.34835943684028,0.24649890547851,0.293822690109483,99.4056307755698,103.179920389634,0.396554332998613,"Adra2a","11551"
"11552",0.915471055215801,0.0091208732528403,0.31340501590066,40.948398059246,43.6195133329345,0.0372187770057909,"Adra2b","11552"
"11556",0.827673497322397,0.0454985604474055,0.396018689448716,86.0380848756834,90.1399723656428,0.119670306953228,"Adrb3","11556"
"11569",0.361487506116394,0.0126200470091291,0.135939824808039,37.4186425143149,41.5205300042743,0.0473338347500943,"Aebp2","11569"
"11571",2.03682954638505,0.0525543102468621,0.873887112343108,27.2000496948746,27.0377801420405,0.133143081442464,"Crisp1","11571"
"11600",-0.44206379895121,0.454619838859239,0.582352028017167,123.842556836024,127.616846450088,0.596136739578774,"Angpt1","11600"
"11603",0.544025444460814,0.0373379820233787,0.249296395731827,78.6643995868415,82.7662870768009,0.104338459674327,"Agrn","11603"
"11608",-0.281742756853689,0.0121813300825245,0.0795311539627741,4.90337363426072,4.27865204194488,0.0462238706010534,"Agtr1b","11608"
"11610",0.911656897398733,0.00409593616315142,0.292458541291821,70.9032093985331,75.0050968884925,0.0202201994472663,"Agtrap","11610"
"11614",2.98893740354965,0.00302355876429108,0.92354906238477,130.695913461702,134.797800951662,0.0161223194973468,"Nr0b1","11614"
"11634",0.916460551561249,0.0506695462668778,0.437633281022972,73.7143725662603,76.3854878399488,0.129563593167944,"Aire","11634"
"11639",1.68638940830995,0.00250936442571511,0.480669108279239,68.5971376328742,71.2682529065627,0.0139107262875758,"Ak4","11639"
"11647",3.36522881159727,3.64090601335895e-11,0.327862278490866,121.753885334308,125.855772824267,7.79373218546367e-09,"Alpl","11647"
"11651",-0.910118901683922,4.17364965694356e-06,0.161074430917731,35.7198687034119,39.8217561933714,9.14343199197486e-05,"Akt1","11651"
"11652",-0.165350109769142,0.341202873734763,0.170769823129117,45.2511039624877,49.2477174930133,0.494385211029647,"Akt2","11652"
"11658",-2.01428534516165,1.49900645143218e-06,0.331610173865013,70.0983465498152,74.0949600803408,4.0496629390265e-05,"Alcam","11658"
"11674",0.278033018447048,0.147448632107771,0.183670779923598,46.2372393410439,48.9083546147324,0.276487582760819,"Aldoa","11674"
"11676",3.77495623559514,2.11399242146162e-05,0.745219267101075,124.305888040658,128.407775530617,0.000328890572260145,"Aldoc","11676"
"11690",-0.456056522624457,0.173166870746854,0.326575147302041,102.802047798246,106.903935288206,0.310585078998521,"Alox5ap","11690"
"11694",-0.1877541471804,0.377416835151966,0.209076046655201,47.0308155216981,50.8051051357626,0.528080399286894,"Alx3","11694"
"11695",-0.381410206626229,0.0986958444483279,0.222712838432051,51.0297402125902,54.8040298266547,0.20771488608309,"Alx4","11695"
"11727",-1.15239943110175,0.0157769205829849,0.345908157756559,22.0955253507476,21.4708037584317,0.0557716967763416,"Ang","11727"
"11731",-0.48474254193981,0.106844145228833,0.262092646304421,20.2701917431701,20.1079221903361,0.219805574605878,"Ang2","11731"
"11732",-1.29445364955544,0.00106871043675273,0.356166241134194,93.0048180248005,97.10670551476,0.00723068481713088,"Ank","11732"
"11739",0.0442211245842047,0.81726566991866,0.189650040336164,63.4284712293283,67.5303587192877,0.877893540353376,"Slc25a4","11739"
"11744",-0.207930535332357,0.273751790443753,0.186255540966328,69.2637189029866,73.2603324335122,0.426472358723354,"Anxa11","11744"
"11757",-0.461085761672073,0.0101650271422236,0.167692176896814,52.1746679047046,56.2765553946641,0.0403941036090106,"Prdx3","11757"
"11764",-0.158881761560638,0.110701956448098,0.0965660323955691,21.4810021032497,25.5828895932091,0.225632862247718,"Ap1b1","11764"
"11765",-0.0752532664996344,0.261899282772735,0.0657695954018783,13.230853204303,17.3327406942624,0.413761742577199,"Ap1g1","11765"
"11767",-0.573134118205632,4.09319966554526e-06,0.101308033194442,35.0762383023531,39.1781257923125,9.02281370443457e-05,"Ap1m1","11767"
"11768",3.36787606359814,6.82830692628244e-07,0.482549893598154,99.7720691832418,102.905636496412,2.12466776110788e-05,"Ap1m2","11768"
"11769",-0.801661486259522,2.61613728996333e-07,0.120279491331759,48.9519810515309,53.0538685414903,1.00826271650279e-05,"Ap1s1","11769"
"11787",-0.698141728690829,0.0118359810022781,0.259907208389511,56.5694501873163,60.6713376772757,0.045204186256981,"Apbb2","11787"
"11797",0.431907697749709,0.0456360273661274,0.20646536952531,34.6876561268183,38.6842696573439,0.11996083713774,"Birc2","11797"
"11804",-0.123565888681302,0.434770363415652,0.156010220112044,54.2273398158143,58.3292273057737,0.578532433104096,"Aplp2","11804"
"11807",0.914130691790098,0.00246022538722974,0.265791932304544,74.0667068821225,77.2002741952928,0.0137158395999085,"Apoa2","11807"
"11811",0.582844066872636,0.0210779253663512,0.230624458957101,59.5540212698934,62.2251365435819,0.0690306912412834,"Apobec2","11811"
"11812",2.78681802801119,1.19732241881845e-06,0.456543297732407,98.1669192397245,102.268806729684,3.36063624251935e-05,"Apoc1","11812"
"11813",0.874181650262278,0.247218941713992,0.540533621738792,11.5144605463695,7.59390208804929,0.39742480432795,"Apoc2","11813"
"11816",3.40056291975892,1.52038058088479e-07,0.495143342658683,111.019228573643,115.121116063602,6.38995383998262e-06,"Apoe","11816"
"11819",-0.707476740005995,0.105961075332675,0.423995915666822,76.9773162600071,81.0792037499666,0.218450966051943,"Nr2f2","11819"
"11826",-1.44302332868357,0.0128256906956305,0.539943458409056,108.919552783936,112.693842398,0.0480240351083807,"Aqp1","11826"
"11828",1.00271053577557,0.272038181730948,0.895532941497267,137.418688333061,141.520575823021,0.424607078521808,"Aqp3","11828"
"11832",0.0251560988930033,0.909988061816057,0.214629648431717,15.4633887142828,15.3011191614487,0.941408984178752,"Aqp7","11832"
"11835",0.261606400651192,0.597860293191424,0.48987564666612,104.790230618086,108.56452023215,0.713335075339026,"Ar","11835"
"11838",-0.220168240707276,0.719783490609073,0.607761006728352,125.521335741989,129.623223231949,0.80775601804266,"Arc","11838"
"11847",0.983142808102991,0.00267147409285255,0.282494196288256,53.5035052238928,56.1746204975813,0.0145915944791177,"Arg2","11847"
"11854",-1.35550082638391,9.63480015813979e-09,0.170992242430252,86.9761644710192,91.0780519609786,7.16240562383555e-07,"Rhod","11854"
"11856",-0.489549931541702,0.0321233280444871,0.21619946871971,77.3186438130006,81.0929334270651,0.0933641696984136,"Arhgap6","11856"
"11858",1.34272658609238,0.00538660164739488,0.44634272892313,94.9189958473505,99.0208833373099,0.0250009800076449,"Rnd2","11858"
"11863",0.228249049622067,0.26794307532872,0.202079550458517,32.5983277681548,36.7002152581143,0.42024581738748,"Arnt","11863"
"11864",-0.317050385885045,0.101247481866592,0.187314110410413,57.8822427326072,61.9841302225666,0.211506644364932,"Arnt2","11864"
"11877",1.07011362547383,1.83272188754954e-06,0.154776668521677,42.6652461766401,45.3363614503285,4.7328444441995e-05,"Arvcf","11877"
"11881",-0.520784922798806,0.11713212769799,0.322106710447239,88.7576754788133,92.7542890093389,0.235202647024627,"Arsb","11881"
"11891",0.580783249656782,0.249072234699775,0.493770701360931,80.614613894576,84.7165013845354,0.399308168886486,"Rab27a","11891"
"11905",-0.213020788447236,0.0794495602431935,0.116698110685081,32.2697334677526,36.044023081817,0.178635831035285,"Serpinc1","11905"
"11931",-0.175698876933334,0.707851744800703,0.464257500795158,116.222602137239,120.324489627198,0.799567801505123,"Atp1b1","11931"
"11932",2.61656399791375,1.87017428209971e-06,0.440385872567785,90.8207499374952,94.9226374274547,4.79471666234712e-05,"Atp1b2","11932"
"11966",0.161176863338145,0.252441943503036,0.138030214285555,41.742497048545,45.8443845385044,0.40341212540191,"Atp6v1b2","11966"
"11977",-0.45049551369886,0.072732994001304,0.241913270455429,56.7944163095065,60.896303799466,0.167693628915283,"Atp7a","11977"
"11979",0.366317663277606,0.221690847755275,0.292569480688442,80.9023033319318,84.6765929459962,0.368351378665293,"Atp7b","11979"
"11980",1.83162910703411,0.000103995038920076,0.407813874018755,85.1203491747757,89.2222366647351,0.00115209108143929,"Atp8a1","11980"
"11981",1.06807545709278,0.1873889181203,0.791036509856407,84.0291653104551,88.1310528004145,0.328207699945128,"Atp9a","11981"
"11982",-1.36781974944962,1.78145500095535e-05,0.26678061920582,110.772030349888,114.873917839847,0.00028669484603237,"Atp10a","11982"
"11989",3.82015584591097,8.75924789583568e-05,0.838964310326044,118.333655341379,122.435542831338,0.00100016425041975,"Slc7a3","11989"
"11990",-0.929785101762414,2.27671906133149e-10,0.0982603062729611,47.9182087024308,52.0200961923902,3.58537402498438e-08,"Atrn","11990"
"11997",-0.162020828146092,0.409620952983293,0.184764124641488,11.3500192818407,11.1877497290066,0.556061695572599,"Akr1b7","11997"
"12010",-1.04924616594178,0.0417188051072812,0.492439801258291,95.6541879985971,99.7560754885565,0.112493247889067,"B2m","12010"
"12015",-0.470240917981797,0.000582661998986684,0.121791119916598,33.7420989893008,37.8439864792602,0.00450877863066046,"Bad","12015"
"12017",-0.480061878224937,0.000206120294364259,0.113144533829838,24.5931125717209,28.6950000616803,0.00197101144777707,"Bag1","12017"
"12018",-0.479901396646247,0.000183026022237519,0.111964458393706,58.5896873810658,62.6915748710252,0.001792625874914,"Bak1","12018"
"12020",-0.195501983936351,0.493162780281233,0.279476270841195,40.0121384469699,42.6832537206584,0.629003813155539,"Nkx3-2","12020"
"12021",0.916772748921152,2.22895406004657e-05,0.181664510384542,55.8836863098488,59.9855737998082,0.000341163593624868,"Bard1","12021"
"12036",0.51723070601196,0.0598503710438476,0.264093924813174,56.30113480743,60.4030222973894,0.146046084649916,"Bcat2","12036"
