"","Entrez","Gene_symbol","logFC","SE","P.Value","FDR"
"225642","225642","Grp",-0.183048501312303,0.0762995573928723,0.0164364649925788,0.123870470158165
"77630","77630","Prdm8",-0.0551132232205994,0.0463330539338,0.23424249936664,0.530298505625732
"338370","338370","Nalcn",-0.0615905078704789,0.0519875424277742,0.236129491288443,0.532277610704569
"140703","140703","Emid1",-0.157141636146101,0.151084813202514,0.298298603313662,0.593363977519396
"208439","208439","Klhl29",-0.0437401157203728,0.0287214443970603,0.127781739045723,0.392303713918562
"93761","93761","Smarca1",-0.0886077486881369,0.0451170674450838,0.0495356744662202,0.236251132368797
"329178","329178","Unc80",-0.0207587092771141,0.0100391145948455,0.038660444369143,0.20585611018021
"381813","381813","Prmt8",-0.158255424018703,0.062689474841632,0.011588485610237,0.101466667258937
"63873","63873","Trpv4",0.0103387163510868,0.00484812532598929,0.03296425540272,0.187691535184721
"27528","27528","Nrep",-0.410669633205737,0.0542164407739068,3.60144690134319e-14,3.01553650858092e-11
"16009","16009","Igfbp3",-0.0511911197319929,0.112971357155407,0.650452529482678,0.822086088441456
"244448","244448","Triml1",0.0130276407119648,0.0136146030109736,0.338624142183441,0.625127136947989
"12832","12832","Col5a2",-0.017367464395443,0.0948271158693643,0.854681333311855,0.928718129806061
"71354","71354","Wdr31",0.00660297217352981,0.00707902052333407,0.350947911235206,0.63293820525086
"12765","12765","Cxcr2",0.0840338799595644,0.0937504010540208,0.370061830644953,0.647735223209849
"12986","12986","Csf3r",0.297647218048759,0.133144077787271,0.0253827527323602,0.16010015930105
"17690","17690","Msi1",-0.0157127609582317,0.0442798139240934,0.722700800854499,0.861466556548423
"71981","71981","Tdrd12",-0.0231642640218607,0.0333918119459389,0.487863526994742,0.723439782887227
"327900","327900","Ubtd2",-0.177391314221844,0.0536525277597295,0.000945370528281119,0.0202128821103922
"235281","235281","Scn3b",-0.180958540202233,0.127544679480645,0.155961565065437,0.436933727976089
"14314","14314","Fstl1",0.0377935557843607,0.0838587236215506,0.652219285887081,0.823383510852354
"73230","73230","Bmper",-0.121179275477826,0.036163322344691,0.000805526126155075,0.0186383998481857
"20201","20201","S100a8",1.4649330565277,1.01660473382427,0.149583116815367,0.427466940267805
"12842","12842","Col1a1",-0.310720004375739,0.355493079836431,0.382089067405028,0.655459559324478
"213417","213417","Klhdc8a",-0.0255246181301993,0.0734936924300729,0.728363306081708,0.863785250094639
"22671","22671","Rnf112",-0.0929789203732146,0.0631423916559218,0.140878434187233,0.415249979171702
"105785","105785","Kdelr3",-0.0140976490386162,0.0714974729432253,0.843689118196229,0.923918433369728
"15203","15203","Heph",0.0217125840162588,0.0889438815601378,0.807141334438349,0.905861812638901
"104582","104582","Rprml",0.0616472488407016,0.0482094558949023,0.200989438389009,0.493337711019693
"50722","50722","Dkkl1",-0.0563990568784067,0.10936823685824,0.606077641288082,0.795885332320764
"74182","74182","Gpcpd1",-0.121968055355794,0.0869790727705193,0.160834940857604,0.443386896240667
"68591","68591","Mocos",0.158071363533265,0.093256391236448,0.0900717991901619,0.327602995463945
"56312","56312","Nupr1",0.27765346488127,0.10377035846969,0.00745838346305604,0.0768615101958168
"93671","93671","Cd163",0.201441895348173,0.0887519715113695,0.0232247340877889,0.151554682208528
"12831","12831","Col5a1",-0.146330227197154,0.0423117284365507,0.000543425155626078,0.0139736407100241
"77772","77772","Dcst1",0.00692139663437496,0.0160025466819275,0.665364648081322,0.830143756620724
"20519","20519","Slc22a3",-0.272303886647593,0.285506393633523,0.340206367135739,0.626750362609907
"17390","17390","Mmp2",0.00219230719693738,0.0875028629695023,0.980011795912354,0.9908843796104
"235380","235380","Dmxl2",-0.0683181364648843,0.0541470471795673,0.207051391771122,0.500907963357797
"12825","12825","Col3a1",-0.33046288993817,0.200152745408375,0.098727651998626,0.343635841471965
"18675","18675","Phex",-0.0453292230409613,0.0436272591793032,0.29879939814244,0.594007350781165
"17474","17474","Clec4d",0.118613020976719,0.14956242537151,0.427738799896941,0.68545654332767
"271305","271305","Phf21b",-0.0398954175130256,0.0922656212782046,0.665452585714662,0.830143756620724
"50525","50525","Spag6l",-0.0383355266478954,0.0172056620111932,0.0258754316917825,0.161694300405903
"22771","22771","Zic1",0.00779884310730072,0.115888145893057,0.946345824619339,0.973117209135323
"18423","18423","Otx1",0.00553785618253648,0.00657964115623989,0.39997528109835,0.667056995004929
"12877","12877","Cpeb1",0.0716600240467276,0.0397696088611397,0.0715644409169182,0.289185363501352
"69183","69183","C1qtnf2",-0.0224557665465783,0.0172031191683861,0.191780126936808,0.483310451574947
"66873","66873","Tril",0.0514258456287687,0.0976350854514375,0.598391648407002,0.790596934290789
"69671","69671","Tmem52",0.0495050068171737,0.0246679101401203,0.0447647245416634,0.224611615986766
"20860","20860","Sult1e1",-0.0228551048739825,0.0378962810532738,0.546444663054878,0.760701096354459
"16176","16176","Il1b",0.0708401320477375,0.0799209806242205,0.37541432120029,0.651648890432188
"30878","30878","Apln",0.0100845114125345,0.0673374259203824,0.880953283226785,0.942436407840712
"11610","11610","Agtrap",0.0871043411554536,0.0299895017644778,0.00367846736000361,0.0498789749210206
"14262","14262","Fmo3",0.0932853544952505,0.133404096696127,0.484383912107671,0.721367906122307
"70574","70574","Cpm",0.0452159427703571,0.0295975165784952,0.12658857854152,0.390043051223722
"18596","18596","Pdgfrb",0.0466663841981017,0.102082123498062,0.647566462447042,0.819985623573064
"69327","69327","1700007K13Rik",-0.119676160745549,0.0925745400455304,0.196095953571817,0.489035273641406
"407800","407800","Ecm2",0.00584064413252649,0.0378904377630406,0.877494937032719,0.940202466187235
"12843","12843","Col1a2",-0.00863598381486547,0.0736496410962758,0.906655884109933,0.954437736507883
"13717","13717","Eln",-0.0798722997497935,0.119114080694288,0.502505355781958,0.73222365144778
