"","Entrez","Gene_symbol","logFC","SE","P.Value","FDR"
"102680","102680","Slc6a20a",-0.185378017911705,0.256288685134982,0.469485018903298,0.747371263111967
"140703","140703","Emid1",-0.703653908855153,0.385748523975187,0.0681330269072027,0.273498105351908
"208439","208439","Klhl29",-0.138756474101817,0.0624399361630387,0.0262671442600393,0.151098620314893
"27528","27528","Nrep",-2.86596802160411,0.574444928841197,6.06586028334115e-07,3.00309804191644e-05
"16009","16009","Igfbp3",-0.253807550826605,0.506958306744886,0.616619029584706,0.830753691113734
"17387","17387","Mmp14",0.668230763141017,0.391622267754909,0.0879495354695276,0.322339316890744
"12832","12832","Col5a2",-0.219937241569722,0.378736493508366,0.561433834187127,0.797723532643546
"71354","71354","Wdr31",0.047610207186022,0.0602923962824583,0.429729133061174,0.720329448429643
"12986","12986","Csf3r",0.901669925730664,0.249976187931824,0.000309729898223993,0.00571131074043211
"14314","14314","Fstl1",-0.343407176079511,0.0449029438230638,2.04502008678109e-14,6.38892482284023e-12
"20201","20201","S100a8",1.58333370066594,0.481217049816122,0.00100091528613899,0.0143060384233169
"12842","12842","Col1a1",-0.0615180071622981,0.217251005422234,0.777049911425523,0.910511148152514
"213417","213417","Klhdc8a",-0.28999546153573,0.19582697498346,0.138639627512243,0.414820021552484
"105785","105785","Kdelr3",0.284184146126951,0.239862603746251,0.236104886618899,0.547087026283178
"15203","15203","Heph",0.132034202220525,0.209005423827705,0.527565804645416,0.780111994465068
"74182","74182","Gpcpd1",-0.368115289360849,0.418169600825071,0.378696048813692,0.685218400544022
"68591","68591","Mocos",-0.143729371129093,0.0372913429038826,0.000116094947953984,0.00265853635466797
"93671","93671","Cd163",-0.443220639597473,1.06258009578144,0.676592543385493,0.860220101469628
"12831","12831","Col5a1",-0.472424736309355,0.383784932296162,0.218337010268448,0.526363988447926
"20519","20519","Slc22a3",-0.0080266422344512,0.378355944285093,0.983074526360301,0.995268209724475
"17390","17390","Mmp2",-0.175562505902233,0.571873290932436,0.758846825358425,0.901114951929464
"235380","235380","Dmxl2",-0.17934106946556,0.242225243035034,0.459063580737503,0.739615809940832
"12825","12825","Col3a1",-0.487352931073443,0.306434525576105,0.111745066131293,0.368492278377427
"245049","245049","Myrip",-0.00781837640660245,0.083627164724013,0.925513602413522,0.974391060902131
"69183","69183","C1qtnf2",-0.0515576481275856,0.103016844092102,0.616738652359933,0.830753691113734
"16176","16176","Il1b",0.865923406638544,0.379582289108106,0.0225334535370069,0.137398140474395
"11610","11610","Agtrap",0.0773272977403792,0.0931347358676366,0.406384199979217,0.706958688903937
"14262","14262","Fmo3",-0.951174079689048,1.03222017333257,0.356797939813319,0.671042805136252
"14579","14579","Gem",0.65407829327547,0.196346489019801,0.000864584190040507,0.0128571110483232
"70574","70574","Cpm",0.361858137903373,0.21868123935174,0.0979795287063879,0.343455023680015
"18596","18596","Pdgfrb",0.0594512996511827,0.440768704415738,0.892706005059929,0.963357506672111
"13717","13717","Eln",-1.2348267638266,0.673209404393089,0.0666185644502775,0.270292966376854
"240168","240168","Rasgrp3",-0.157877950100238,0.146295205342188,0.280510264801144,0.595878780562336
"56496","56496","Tspan6",0.0165668922498177,0.0705392150566213,0.81431682221751,0.930589103089132
"12289","12289","Cacna1d",-0.305609203566989,0.114953851154971,0.00784804550949323,0.0672357473922269
"68481","68481","Mpzl1",-0.500072631050787,0.215573791279952,0.020355578230467,0.129353432207241
"117160","117160","Ttyh2",0.0793175413297247,0.0981869494685984,0.419193272903194,0.714851129253085
"12490","12490","Cd34",0.16008650144256,0.347282828564671,0.644821087428547,0.843369561639861
"16542","16542","Kdr",0.0497280298268127,0.0359331534930362,0.166387894640473,0.45615499458855
"76123","76123","Gpsm2",-0.244902777481889,0.14002690963191,0.0802963122293419,0.304339427205545
"77889","77889","Lbh",0.576888691681025,0.365868527859023,0.114849606329855,0.373353940921595
"27355","27355","Pald1",-0.178529029632519,0.181485003402058,0.325256991667765,0.642430421737508
"56720","56720","Tdo2",-0.201029541406542,0.315696759520645,0.524267827408345,0.778210142831706
"13610","13610","S1pr3",-0.909520348741159,0.221998659963742,4.18605348375863e-05,0.00112403457320582
"15245","15245","Hhip",-0.160013682672783,0.16918813381258,0.344264036558727,0.661596998591008
"58203","58203","Zbp1",0.562461689533319,0.154245097456792,0.000265789945340289,0.00510181547623521
"54195","54195","Gucy1b1",-0.435230304396185,0.0640278787496648,1.06440936728663e-11,1.89089193482684e-09
"73173","73173","Pcdh18",-0.240304224804007,0.270550947800479,0.374431443466688,0.681605159294393
"16949","16949","Loxl1",0.137398209496797,0.0872023829304999,0.1151123704162,0.373939790595472
"60596","60596","Gucy1a1",-0.232611386788882,0.2277809395052,0.307156590984025,0.622977101928647
"11287","11287","Pzp",0.12517563083135,0.0603998247421612,0.0382234729033869,0.192318806425093
"12189","12189","Brca1",0.229899559530944,0.518599615047939,0.657542689248427,0.850440651618951
"218639","218639","Arl15",-0.0163212749247496,0.194172150187332,0.933012150640361,0.977574891268841
"67198","67198","Spats2l",-0.175506108658702,0.207203843403524,0.396983142009904,0.700422057762362
"211187","211187","Lrtm2",1.94965662708527,1.50627872455294,0.195543461971973,0.496670525782471
"16000","16000","Igf1",-0.357381600191845,0.133180186615461,0.00728681326379299,0.0638477061605073
"66569","66569","Gdpd1",-0.227776395066954,0.578010097886768,0.693529415635665,0.869573892689103
"106648","106648","Cyp4f15",-0.197340991058115,0.433361766415721,0.64884134222606,0.845699861209565
"71690","71690","Esm1",2.42701286190296,0.888031423156979,0.00627554010703584,0.0572571937258255
"17242","17242","Mdk",-0.165054684861857,0.207282183314824,0.425869229309267,0.71992992961221
"66412","66412","Arrdc4",0.248699316436734,0.138036478189913,0.071593765715597,0.281894618593355
"20408","20408","Sh3gl3",0.233513540950961,0.203549792704708,0.251296497550607,0.564529201043516
"71914","71914","Antxr2",-0.19639202862758,0.346126551715836,0.57044279688248,0.804024215180751
"67141","67141","Fbxo5",-0.0231301540169467,0.0558943353910612,0.679006457951295,0.861717118509418
"18795","18795","Plcb1",-0.188656403001262,0.286036059660599,0.509539687654682,0.769148545510067
"53325","53325","Banp",-0.262597385765826,0.104763503212125,0.0121907824993868,0.0916584974642692
"12834","12834","Col6a2",-0.151549108965784,0.527293495920469,0.773798862094956,0.908013527747045
