"","Entrez","Gene_symbol","logFC","SE","P.Value","FDR"
"338370","338370","Nalcn",0.654193011244655,0.460073037196866,0.155045716466263,0.495171131200948
"102680","102680","Slc6a20a",0.516682802893471,0.485417012525607,0.287142930456763,0.623570029341014
"140703","140703","Emid1",-0.330907445297819,0.206504584581181,0.109062370360105,0.429347709815786
"208439","208439","Klhl29",0.387899777847336,0.369400075167467,0.293681150314917,0.630325111740129
"93761","93761","Smarca1",-0.283847631945528,0.292874620094322,0.332456396987971,0.658812126096422
"329178","329178","Unc80",-0.244507997024202,0.388389726941324,0.52899368889172,0.795463885496106
"63873","63873","Trpv4",0.570469313218852,0.290208940441155,0.0493310449627186,0.312412513804195
"27528","27528","Nrep",-0.852014091976756,0.309374202455862,0.00588731994237724,0.126487821864951
"16009","16009","Igfbp3",-0.465785005284422,0.211331973143516,0.0275212372475959,0.242890832312322
"17387","17387","Mmp14",-0.00539185957432087,0.182414557735451,0.976419342868703,0.991345426517071
"12832","12832","Col5a2",-0.467518238729978,0.29258929965149,0.110072996401852,0.431477475885698
"20307","20307","Ccl8",1.18934957914918,0.325952150867396,0.000263419759841688,0.0260150554400252
"12986","12986","Csf3r",0.533090105982187,0.401178266687644,0.183910322092437,0.52391147759227
"12768","12768","Ccr1",0.579641829888091,0.406565153810423,0.153953614033683,0.494839065128716
"327900","327900","Ubtd2",-0.312590201091497,0.171995514759042,0.069150948295632,0.35652903329985
"14314","14314","Fstl1",-0.18928803390557,0.148499939656392,0.202426985638429,0.543445249823645
"73230","73230","Bmper",-0.129957631988771,0.185193071011179,0.48284049311742,0.769871628613137
"12842","12842","Col1a1",-0.547797929297671,0.320816807291662,0.0877272875874495,0.390992737694821
"213417","213417","Klhdc8a",0.217410685896243,0.187088636759317,0.245205743119289,0.588927688682242
"105785","105785","Kdelr3",-0.480769987937389,0.232722911664204,0.0388429046433348,0.282580166083101
"15203","15203","Heph",-0.219453859942588,0.206295766719787,0.287427167248667,0.624073820326864
"74182","74182","Gpcpd1",-0.0842690529376314,0.285914478985582,0.768196193200908,0.911980337878543
"68591","68591","Mocos",0.288348173501478,0.212875273830686,0.175564011020054,0.516594692332056
"56312","56312","Nupr1",0.223213746424454,0.131638267914475,0.0899502863369213,0.394424781488029
