"","Entrez","Gene_symbol","logFC","SE","P.Value","FDR"
"100017","100017","Ldlrap1",-0.132276259337174,0.10438286948944,0.205075953303565,0.476146469583776
"100019","100019","Mdn1",-0.196084367434493,0.14078315511279,0.163676864408912,0.421973547916988
"100034251","100034251","Wfdc17",0.188448940767392,0.320096209059604,0.556045135529719,0.778258620365463
"100034361","100034361","Mfap1b",0.615083903735172,0.277466394846529,0.0266376486330093,0.139818942709797
"100034726","100034726","Gm15772",0.285898401945953,0.173572175117476,0.099528409432137,0.318011506908512
"100036521","100036521","Umad1",-0.127533600258741,0.213308202334379,0.549917214495586,0.774908423019052
"100037258","100037258","Dnajc3",-0.152081379558861,0.208240724729837,0.465197501012534,0.715968947828899
"100037278","100037278","Fam129c",-0.0288346153395596,0.10464547638251,0.782896989022825,0.904784625190106
"100037282","100037282","Rsph3b",0.346218470480068,0.184603869565734,0.0607285015202817,0.236856720688138
"100037283","100037283","Rnaset2a",0.034948691135316,0.341944882808883,0.918593461474437,0.968235610389281
"100038347","100038347","Fam174b",0.478545046357125,0.19859192888687,0.0159660667602357,0.100849652407009
"100038882","100038882","Isg15",-2.00907900630043,0.515102275895157,9.60538438401227e-05,0.00246727239607273
"100038948","100038948","Mup9",-2.64628573485737,1.12615933479739,0.0187818639827028,0.111428076084515
"100039008","100039008","Mup10",-3.77317280742716,2.00398126357589,0.059722275964302,0.234888753259556
"100039028","100039028","Mup11",-2.28810287159672,0.889453352920727,0.0100972163287904,0.0744990979313299
"100039054","100039054","Mup12",-0.667748484963002,0.355273365687211,0.0601715714515987,0.235787803796822
"100039089","100039089","Mup13",-1.44440539361584,0.723686825426887,0.0459449804100778,0.199619625807383
"100039116","100039116","Mup14",-2.00761065466521,1.06174999685248,0.0586442858534437,0.232127258202187
"100039123","100039123","Gm14295",-0.518097846828588,0.306871201695299,0.0913491555741672,0.30186878934851
"100039150","100039150","Mup15",-0.729612147051538,0.417512191885292,0.0805466634273789,0.281181919489078
"100039495","100039495","Gm15706",-0.0626103538679716,0.329927845330321,0.849489491907947,0.938390152545582
"100039596","100039596","Tcf24",0.531640328093809,0.16157906866546,0.0010008784335249,0.0146568092017628
"100039707","100039707","Mthfsl",0.0532636384744301,0.0965372250688623,0.581125152410213,0.79437095129797
"100039795","100039795","Ildr2",1.08336473492872,0.410872853814759,0.0083707055231719,0.065745141315545
"100039796","100039796","Tgtp2",-1.40533901569878,0.762941146956268,0.0654748770515649,0.247492595702469
"100039864","100039864","Snhg12",-0.372936199284705,0.479879119097297,0.437072561734189,0.695545276673466
"100039968","100039968","Tmem35b",-0.589172273139992,0.379185493306886,0.120235998274683,0.354826734707268
"100040462","100040462","Mndal",-0.170412304914341,0.164793309901935,0.301090712175015,0.57973613401813
"100040563","100040563","Dynlt1c",0.150112065575565,0.081166850275231,0.0643963553990475,0.244994086044762
"100040608","100040608","Fancf",-0.152540543701251,0.0788737383435332,0.0531151017596598,0.2178727804579
"100040766","100040766","Mroh2a",0.129908794099876,0.251426923005108,0.605375306844695,0.808712937430777
"100040970","100040970","Rpl14-ps1",0.406336233215881,0.0535066818713715,3.09887980540778e-14,1.38021083235491e-11
"100041273","100041273","Ndufb4c",0.466012764625989,0.340903214773192,0.17162708002771,0.432824486726421
"100041658","100041658","Mup7",-2.64964942387432,1.1046262962023,0.0164541073672026,0.102689150592101
"100041694","100041694","Gm10451",0.182498229494069,0.174343458826102,0.295203745950543,0.574641893700337
"100041925","100041925","Gm14586",0.226956594838121,0.109190897263281,0.0376605377393234,0.175349076914275
"100041953","100041953","Sap18b",0.15756556112196,0.18618657805904,0.397397808914722,0.662547374106796
