"","Entrez","Gene_symbol","logFC","SE","P.Value","FDR"
"100017","100017","Ldlrap1",-0.0997015950682066,0.129019255973846,0.439661334161654,0.78760893054912
"100019","100019","Mdn1",-0.0180998218183089,0.140323359598276,0.897368315264359,0.975870596639706
"100034251","100034251","Wfdc17",-0.077381001528339,0.311893813472239,0.804056672433808,0.948043824435405
"100034361","100034361","Mfap1b",0.149118887069195,0.301262158861019,0.620613901616546,0.879511869446687
"100034726","100034726","Gm15772",0.301173849915301,0.0972853967269253,0.001962982266772,0.0991237097073394
"100036521","100036521","Umad1",0.0271257000998728,0.0760997362350738,0.721504091036425,0.918255263918909
"100037258","100037258","Dnajc3",-0.236223149565625,0.190632330461609,0.215287822008527,0.629162956689282
"100037278","100037278","Fam129c",0.0125281413148487,0.10350472535039,0.903659893251298,0.977190349348429
"100037282","100037282","Rsph3b",-0.09679426101547,0.196270803798097,0.621894673911797,0.879920567816434
"100037283","100037283","Rnaset2a",0.204018788395357,0.211433741700708,0.334579807663936,0.728989145341432
"100038347","100038347","Fam174b",0.397496690654757,0.185024444355194,0.0316862080606392,0.329911054349073
"100038725","100038725","Cep85l",-0.36821838895948,0.231995036334012,0.11247138811579,0.512764974355605
"100038882","100038882","Isg15",-0.427087825176298,0.287677137009809,0.137647652508266,0.547623745097298
"100038948","100038948","Mup9",-2.19364088753338,1.08783788150526,0.0437462010571669,0.369334300725681
"100039008","100039008","Mup10",-2.21001503839528,2.52271167378048,0.381004258390859,0.756428059746227
"100039028","100039028","Mup11",-2.73164746212796,1.5455010702515,0.0771473092644895,0.452692017485588
"100039054","100039054","Mup12",-1.05645700260907,2.70657225980272,0.696292364134475,0.908911578893753
"100039089","100039089","Mup13",-2.24401241695964,0.869268634093706,0.00983734870710052,0.205496114969411
"100039116","100039116","Mup14",-2.44151537584991,1.60999708512144,0.129400064619533,0.536325816731458
"100039123","100039123","Gm14295",-0.143940164834114,0.195274367718537,0.461050863320307,0.799642612390576
"100039139","100039139","Ccdc152",0.642503702197474,0.184550137325054,0.000498690467200358,0.0493109883400735
"100039596","100039596","Tcf24",1.31397446118688,0.822254255758658,0.110039685761075,0.509678959760319
"100039707","100039707","Mthfsl",0.256286497941201,0.15027037662263,0.0881007526999793,0.471649920674204
"100039795","100039795","Ildr2",1.02499911081799,0.354946032829738,0.00387995254602054,0.139510328343059
