"","Entrez","Gene_symbol","logFC","SE","P.Value","FDR"
"100017","100017","Ldlrap1",0.121750388532128,0.123384936651341,0.323764010444254,0.595313537101368
"100019","100019","Mdn1",-0.409624473417113,0.129004658848306,0.00149697740011497,0.0129759790703615
"100034726","100034726","Gm15772",0.216459419294221,0.060330004696727,0.000333322523233601,0.00377865052600567
"100037258","100037258","Dnajc3",-0.709988217390007,0.279170710645802,0.0109840910506192,0.0622089225043409
"100037282","100037282","Rsph3b",-0.127320013916269,0.184400074167947,0.48990789249754,0.732322621920597
"100037283","100037283","Rnaset2a",-0.0902102038395229,0.212776504378728,0.67158992261074,0.851608402378235
"100038347","100038347","Fam174b",0.403808607028749,0.0731024436457774,3.31607399023191e-08,1.1483349755726e-06
"100038882","100038882","Isg15",-0.559675373463773,0.467349765061013,0.23109169924429,0.494546893955382
"100038948","100038948","Mup9",-4.31470419534367,1.01263743288979,2.03643696157378e-05,0.000347907239779241
"100039008","100039008","Mup10",-6.88396743525531,3.36400001765425,0.0407206032943824,0.162055894357089
"100039028","100039028","Mup11",-5.44718679400249,1.96971535100218,0.00568410027865878,0.0371146153748634
"100039054","100039054","Mup12",-5.16862721479588,2.61764042605913,0.0483207431844013,0.183439614363253
"100039089","100039089","Mup13",-3.81242104034256,1.38872278674756,0.00604608615988567,0.038975351142871
"100039116","100039116","Mup14",-5.39546078612933,1.85243299592682,0.00358393489797914,0.0259422421499226
"100039150","100039150","Mup15",-4.84522018971244,1.93810030291074,0.0124198835723859,0.0682040233574691
"100039796","100039796","Tgtp2",-0.137821284558084,0.275995272693307,0.617525065339303,0.819660475315951
"100039968","100039968","Tmem35b",0.705409866358288,0.219012661833491,0.00127805048780384,0.0114637505416993
"100040462","100040462","Mndal",0.837506250307177,0.516518868399257,0.104922521227153,0.306776575734651
"100040563","100040563","Dynlt1c",0.00737363698909347,0.119364052718157,0.950742528738437,0.983451236630092
"100040608","100040608","Fancf",0.106324197922403,0.137900257840698,0.440693610821234,0.696735778258747
"100040970","100040970","Rpl14-ps1",-0.0876097060724955,0.15029016807883,0.559935683122641,0.780214913879462
"100041273","100041273","Ndufb4c",0.14777497784575,0.492070991499309,0.7639389416861,0.898701854014241
"100041658","100041658","Mup7",-5.00470688846289,2.18657207495262,0.022088829591488,0.10455579624043
"100041925","100041925","Gm14586",0.12166676936986,0.106639168707224,0.253903180614074,0.520941219945251
"100041953","100041953","Sap18b",0.189300512977086,0.172254428853606,0.271786055940878,0.541510474417198
"100042165","100042165","BC005561",-0.723930775004901,0.138323336175712,1.6622853460892e-07,4.98721428941977e-06
"100042480","100042480","Nhsl2",0.116443628520592,0.190313741664575,0.540636429127455,0.768528513211815
"100042889","100042889","C920021L13Rik",0.574334660468199,0.1985198934219,0.00381479667827606,0.0271556604510127
"100043272","100043272","Inafm2",-0.577041830908374,0.243033115132639,0.0175806310848374,0.088641783894249
"100043461","100043461","Gm4450",-0.637609629436189,0.211794473143196,0.00260808345637957,0.020070276283173
"100043468","100043468","Zfp955b",-0.132626849049834,0.355480146515467,0.709079867444882,0.870952343297061
"100043597","100043597","Srcap",0.05013421829873,0.167983069157887,0.765361225515549,0.899657447977743
"100043813","100043813","Rps27rt",0.519529805313475,0.148062863065895,0.000450055181851254,0.00480461517373566
"100043915","100043915","Gm4724",0.329525536742952,0.0778502945360542,2.30789056424871e-05,0.000388021069382926
"100087","100087","Kti12",-0.513043113868488,0.186484984057964,0.00593913528937924,0.0384194713584797
"100088","100088","Rcc1",-0.52565204030164,0.293137871624567,0.0729424720317183,0.24073782673152
"100090","100090","Zbtb48",1.09625061061957,0.396703569395562,0.00572026320841771,0.0372633524213303
"100121","100121","Tdrd7",-0.197675132499077,0.254237825484225,0.436851718295952,0.693591784945021
"100129","100129","Gpr153",0.342708815398215,0.757684282547144,0.651045066798807,0.839361395230733
"100163","100163","Pafah2",-0.40527268875212,0.054650011609755,1.20907298025055e-13,1.18531725056816e-11
"100177","100177","Zmym6",0.566349979500054,0.154315652830981,0.000242479559577235,0.00290245739370137
"100182","100182","Akna",0.372887305354291,0.136657111015648,0.00635971527836771,0.0404817541793127
"100198","100198","H6pd",-0.349756413969855,0.404620356059809,0.387364693780801,0.65472615656176
"100206","100206","Adprhl2",0.342604185177835,0.204104006214598,0.0932346127611079,0.283079398963442
"100210","100210","Gpn2",0.0883001679919884,0.16190843123899,0.58549836054608,0.799202807283128
"100213","100213","Rusc2",0.111249058756116,0.279054806392762,0.69014092028624,0.861114255741216
"100226","100226","Stx12",0.339057521438329,0.232953666451683,0.145538656992641,0.377289319179619
"100273","100273","Osbpl9",0.12682900635372,0.185562873233047,0.494301902995772,0.735510929474132
"100317","100317","AU040320",-0.0678314581790703,0.0541662202291554,0.21046661719066,0.469589389631729
"100336","100336","Ppp1r8",0.405288293900723,0.0754113263755599,7.6851336597703e-08,2.4594194408658e-06
"100340","100340","Smpdl3b",2.63108882270881,0.878377382591614,0.00274088009147565,0.0208729714187268
"100383","100383","Bsdc1",-0.0881540128820455,0.122983902958786,0.473501770715121,0.721736357180028
"100434","100434","Slc44a1",0.225101585772535,0.101950117384433,0.0272471952781793,0.121460812325228
"100494","100494","Zfand2a",-0.053504812823233,0.187635337067431,0.775526789651595,0.904393362387314
"100502825","100502825","Rpl37rt",0.146053517880735,0.202289137094486,0.470292164934899,0.719462983520722
"100503043","100503043","Armcx4",0.861318215163608,0.479153087378095,0.072242859168368,0.239393678286801
"100503659","100503659","Cbarp",0.703106747979001,0.610994628017965,0.24983194815864,0.516472479382776
"100503670","100503670","Rpl5",0.0125191248273623,0.19748731911619,0.949454322460668,0.982775940439807
"100503890","100503890","Pet100",0.0718972604074962,0.134153937141114,0.592006204098973,0.802543418761496
"100504309","100504309","Smim27",0.480258830704416,0.167649541875271,0.00417458032845387,0.0289950922478051
"100504404","100504404","H2-Ea-ps",0.821332904220152,0.346207433482219,0.0176742744459865,0.0889528469134411
"100504663","100504663","Atg14",0.271879226294263,0.154209025302478,0.0778909588489969,0.251757612755256
"100504714","100504714","Gm16793",-0.677761994733515,0.329949347783579,0.0399621900569981,0.160044202469353
"100515","100515","Zfp518b",-0.120562341364272,0.181133927379472,0.505668220761537,0.74412339336378
"100532","100532","Rell1",0.725159107288103,0.295125019683028,0.0140053888034424,0.0750169363342523
"100561","100561","Slc15a4",1.50667434233401,0.123871438518575,4.88024905835442e-34,2.83074779755633e-31
"100604","100604","Lrrc8c",-0.0150058765595974,0.092418450319687,0.871015407396789,0.951402548328725
"100608","100608","Noc4l",-0.381702050079229,0.247844993046523,0.123539936545882,0.342384920695844
"100609","100609","Nsun5",-0.18631641402259,0.306461161999802,0.543213384773596,0.769206950405171
"100637","100637","N4bp2l1",-0.125831244272328,0.745530886856971,0.865969119308394,0.949075429845076
"100647","100647","Upk3b",0.715066828742377,0.645369107670145,0.26786324967475,0.537696366073857
"100662","100662","D930016D06Rik",-0.56200523527638,0.241068429562144,0.0197370204519848,0.096402915743931
"100678","100678","Psph",-0.452000746224721,0.152193735878068,0.00297893072139481,0.0223435854377894
"100683","100683","Trrap",-0.172249403199575,0.0950529421993087,0.0699642997569243,0.234332412076875
"100689","100689","Spon2",-0.0154781049964628,0.606532424963454,0.979640988295517,0.995516621509737
