"","Entrez","Gene_symbol","logFC","SE","P.Value","FDR"
"100017","100017","Ldlrap1",0.131443234953222,0.0432342194971089,0.00236374599525227,0.0101800349801144
"100019","100019","Mdn1",-0.0998637939587682,0.056908754689296,0.0792925878288347,0.172935714627513
"100034251","100034251","Wfdc17",-0.132732229297803,0.130859215104366,0.310433327134879,0.468951721573336
"100034361","100034361","Mfap1b",0.409291334801601,0.0500881765234526,3.04790296111283e-16,2.06510976140706e-14
"100037258","100037258","Dnajc3",-0.189785409250152,0.0518702416700929,0.000253350032056036,0.00152377193193123
"100037282","100037282","Rsph3b",-0.0784961813857583,0.0737619630423992,0.287246087442326,0.444595342801176
"100037283","100037283","Rnaset2a",0.168886280502667,0.0940231784141317,0.0724595909810082,0.161697759742529
"100038347","100038347","Fam174b",0.050420170766876,0.0611699564817828,0.409789775673486,0.56734519842168
"100038882","100038882","Isg15",-0.147876636550948,0.171157818644706,0.387599826194899,0.547126949490872
"100038948","100038948","Mup9",0.586192265019528,0.106738680779141,3.97756945041623e-08,6.28087066605559e-07
"100039008","100039008","Mup10",-0.344533536454616,0.36658273686627,0.347293456207458,0.506263128258512
"100039028","100039028","Mup11",0.81150743493962,0.184611139302314,1.10382616502397e-05,9.78558843225522e-05
"100039795","100039795","Ildr2",-0.324830072479534,0.169111351316163,0.0547561890145958,0.129696681531848
"100039796","100039796","Tgtp2",-0.0980225240729926,0.179232521182556,0.584446445819906,0.721525406757307
"100039968","100039968","Tmem35b",-0.116091800023089,0.0937322493128837,0.215513290982333,0.361731105187738
"100040462","100040462","Mndal",-0.328282423874254,0.15543209807787,0.0346810236711667,0.0904307862464351
"100040563","100040563","Dynlt1c",0.0916986987663461,0.0823631379032397,0.26555970813348,0.421183230121581
"100040608","100040608","Fancf",0.0128071213828949,0.0384000959140351,0.738743339947142,0.836210219365416
"100040766","100040766","Mroh2a",-0.0939255637096482,0.0855539813928783,0.272269354818301,0.428357382568551
"100041658","100041658","Mup7",0.00600868833774613,0.00123600988802115,1.16582346469515e-06,1.30321006827875e-05
"100042165","100042165","BC005561",-0.18815792344403,0.106896748200595,0.0783766494283362,0.171360208167321
"100042480","100042480","Nhsl2",0.0914512853827973,0.0726050947608231,0.207824095071221,0.352523180807998
"100042889","100042889","C920021L13Rik",0.282579922823067,0.0701063501886134,5.56033686770627e-05,0.000408188356015142
"100043133","100043133","9130023H24Rik",-0.352860848705585,0.1013512997786,0.000498498091652336,0.00274463294243077
"100043272","100043272","Inafm2",-0.174972560612781,0.0791227912516241,0.0270077825582556,0.0743726250799536
"100043468","100043468","Zfp955b",0.109075134793937,0.0525808838355151,0.0380397960158336,0.0970358223377392
"100043597","100043597","Srcap",0.0726298988905865,0.0479265300334837,0.129660389877416,0.249497496937396
"100072","100072","Camta1",0.11821130585376,0.0630796164873777,0.0609301966558818,0.140654651617859
"100087","100087","Kti12",0.0279287031524397,0.0506171387301602,0.581110214513993,0.719338942655478
"100088","100088","Rcc1",-0.0578983691584781,0.0576449349776641,0.315187551213457,0.47324933976204
"100090","100090","Zbtb48",0.0589089191167954,0.0669424911712303,0.378863138210018,0.538211179038846
"100102","100102","Pcsk9",-0.296298908986038,0.0894785961203112,0.000928323183320701,0.00463289435343815
"100121","100121","Tdrd7",-0.0314279551490365,0.0489159778805975,0.520556028656826,0.667147660737565
"100129","100129","Gpr153",0.200673455131354,0.0978493467001919,0.0402824302683271,0.101508666786221
"100163","100163","Pafah2",-0.0706889698503491,0.0290375090703448,0.0149164188980119,0.0462611029812233
"100169","100169","Phactr4",-0.00644844656632592,0.0375645892345738,0.86370254924037,0.917832692212199
"100177","100177","Zmym6",-0.0522051335012813,0.0767781674225543,0.496537617095955,0.64564961862668
"100182","100182","Akna",-0.0454758349262976,0.0344617766072954,0.186967880577422,0.326444051284271
"100198","100198","H6pd",-0.114005158320538,0.0583109073575697,0.0505682259119838,0.121480832147457
"100201","100201","Tmem64",0.019713278527013,0.0724197551920081,0.785461647068143,0.867919120868562
"100206","100206","Adprhl2",0.144047435293441,0.0513834072640952,0.00505693786682636,0.0190947213168763
"100210","100210","Gpn2",0.449359795975114,0.0474151053784468,2.61337041568259e-21,4.1316141809839e-19
"100213","100213","Rusc2",0.528472444493222,0.0524662255503186,7.30055898284815e-24,1.53891148082894e-21
"100226","100226","Stx12",0.150238556167311,0.0443820513445209,0.000711472224472585,0.00369798479099645
"100273","100273","Osbpl9",0.0612567527967115,0.0424764882662928,0.149264808383724,0.27610537411208
