"","logFC","P.Value","SE","AIC","BIC","FDR","symbol","Entrez"
"4302",-1.43163997966025,7.10075348300397e-07,0.131193636488758,18.0226573535874,18.9304126325695,1.07151718302862e-05,"MLLT6","4302"
"4693",-0.47779723307143,0.0696991030880319,0.235263200504346,27.3115794777863,28.2193347567684,0.104614470593415,"NDP","4693"
"147965",-0.8899628652974,2.13713567611238e-05,0.119150720517271,15.6583090937274,16.5660643727096,0.000145740886257303,"FAM98C","147965"
"25870",-0.64044916566235,2.21654908726963e-06,0.066418322370051,5.34179538737052,6.24955066635265,2.48113012268667e-05,"SUMF2","25870"
"171392",1.84621914131132,1.4230112216727e-08,0.112125746930301,15.9954936550115,16.9032489339936,8.28819246053825e-07,"ZNF675","171392"
"59272",0.457421360132775,0.0914676231877164,0.245012106637025,29.7069939828165,30.6147492617987,0.131453695349797,"ACE2","59272"
"10873",-1.69892204955327,1.28416351322813e-05,0.21448081640611,28.2527097865087,29.1604650654908,9.63563064188892e-05,"ME3","10873"
"154761",-0.231112076088144,0.014111895236338,0.0778874824353038,7.50772021701406,8.41547549599619,0.0276516583919264,"LOC154761","154761"
"2250",-1.13695514522114,0.000658237906766366,0.233786382033143,29.3988266911368,30.306581970119,0.00229612835290082,"FGF5","2250"
"79041",0.515786529927054,0.0702484316303149,0.254557750184541,31.3076871919474,32.2154424709296,0.105322951180367,"TMEM38A","79041"
"4605",1.41505829801773,8.65764821622285e-07,0.13247558989105,20.5671399380571,21.4748952170392,1.23512327656122e-05,"MYBL2","4605"
"8473",0.201341409250232,0.00234843996429063,0.0497953622421872,-6.82952580616374,-5.92177052718161,0.00640373750948957,"OGT","8473"
"90317",0.960105199932937,9.74485836915511e-09,0.0560743456479483,5.484305217998,6.39206049698014,6.7345445120748e-07,"ZNF616","90317"
"4843",2.18584918951329,2.55207657926639e-06,0.230225452829513,29.8492092412463,30.7569645202285,2.76740624828135e-05,"NOS2","4843"
"3090",-1.24878358972387,0.00869157496060886,0.384009268730222,39.4893598661979,40.39711514518,0.0186020079487932,"HIC1","3090"
"5318",2.34159322894992,0.00325901567887287,0.609608977491986,48.4498761255168,49.3576314044989,0.00839389267761287,"PKP2","5318"
"51281",-1.06741207112547,0.00023212322425203,0.191082991804727,11.0980806615292,12.0058359405114,0.000988285352540898,"ANKMY1","51281"
"56154",1.01992384268875,0.000411753019417086,0.196812247641686,11.4104636849497,12.3182189639318,0.00157464137953974,"TEX15","56154"
"11177",-1.0675353682035,1.4424327344587e-07,0.0825557865772203,1.39984867651451,2.30760395549665,3.47385883548803e-06,"BAZ1A","11177"
"645121",1.15761508295058,5.82275982831312e-05,0.174490372018866,25.014998225774,25.9227535047561,0.000326081388623736,"CCNI2","645121"
"2011",0.182800440518895,0.0690653669237209,0.0897678116392798,10.2082271292516,11.1159824082338,0.103811242651819,"MARK2","2011"
"8082",-1.51847739317314,4.4933683794675e-06,0.17027407009043,24.7426711189376,25.6504263979197,4.27194708787539e-05,"SSPN","8082"
"8309",-0.490506022069026,0.220314792520052,0.375157153709612,38.8262200523244,39.7339753313065,0.277195537765664,"ACOX2","8309"
"55620",0.325395153679686,0.328434706113517,0.31671213302865,35.4581411564326,36.3658964354147,0.389103328224175,"STAP2","55620"
"8710",-1.50491462219549,6.52381600005937e-05,0.229975993673391,28.7975380140347,29.7052932930168,0.000356752483902329,"SERPINB7","8710"
"2794",-0.437935369409947,0.0688698327025453,0.214877999409934,10.9090112652976,11.8167665442797,0.103589873745631,"GNL1","2794"
"115",-0.43716008388783,0.00382152132901256,0.116763824799681,14.7675611445491,15.6753164235313,0.00953705322904431,"ADCY9","115"
"51773",0.509743160303548,0.000322306250663088,0.0952288725934079,-2.93578683737177,-2.02803155838963,0.00128936019822729,"RSF1","51773"
"317749",-0.868382559789495,4.57307973665267e-06,0.0975668705270921,13.0692224012676,13.9769776802497,4.33318047177909e-05,"DHRS4L2","317749"
"79158",0.45906457457723,1.34163086516932e-05,0.0582460015847689,4.14907354264994,5.05682882163208,9.97282428770056e-05,"GNPTAB","79158"
"1306",-1.50026058795862,0.00737626167621089,0.447956628365047,42.6744812467273,43.5822365257094,0.0162634163925612,"COL15A1","1306"
"9679",-0.46160357247229,0.0107508740921768,0.147633306526541,4.43407745301563,5.34183273199776,0.0221401611351955,"FAM53B","9679"
"8087",0.603637733613379,3.29961170878885e-07,0.0509590648038159,-5.43471133631762,-4.52695605733548,6.19045699659869e-06,"FXR1","8087"
"9559",-0.507657196007545,5.13413711134667e-06,0.0577792086033659,0.589012104135705,1.49676738311784,4.73313345876396e-05,"VPS26A","9559"
"4059",1.18865995640329,0.00477915011699724,0.329395913502816,36.4105569697765,37.3183122487586,0.0114304086936182,"BCAM","4059"
"3790",1.80135014298661,6.10628318882441e-07,0.162416783289474,23.3614195555777,24.2691748345599,9.55465508971589e-06,"KCNS3","3790"
"23011",-0.544261141328286,2.11112976972967e-08,0.0344319753770224,-12.3878946307513,-11.4801393517691,1.01540495725038e-06,"RAB21","23011"
"4691",0.440234306624374,0.0005734563125345,0.0888293976561854,6.35929808493484,7.26705336391697,0.00206223712392214,"NCL","4691"
"8942",-0.336205695436906,0.296856996884866,0.305474397719859,35.0034183491575,35.9111736281396,0.357352499752726,"KYNU","8942"
"5970",-0.794429527336706,0.00352805507160377,0.209465782443566,16.760128115312,17.6678833942941,0.00894749666743388,"RELA","5970"
"114294",-0.414742267454537,0.00526715547308921,0.116824724453538,12.0508247768158,12.9585800557979,0.0123674062214286,"LACTB","114294"
"54869",1.34147280220534,0.0221343132244664,0.495979593219198,44.5514422089952,45.4591974879774,0.0402277170503547,"EPS8L1","54869"
"7561",0.562889083674008,1.14968141681474e-06,0.0543395743304918,-0.177105932127114,0.730649346855023,1.51757947019545e-05,"ZNF14","7561"
"79805",3.34698259288277,1.93750926926098e-07,0.267027028457573,23.309605703546,24.2173609825282,4.26252039237415e-06,"VASH2","79805"
"55616",0.706393383827193,0.000623279296611887,0.144167100281705,18.2534751025026,19.1612303814847,0.00220523637610372,"ASAP3","55616"
"10124",0.27100534497123,0.0031869366591503,0.0703025437170296,8.22754645059016,9.1353017295723,0.00824462631718878,"ARL4A","10124"
"890",0.96865312701086,4.01112283202312e-07,0.0834942297124438,18.2834425775746,19.1911978565567,7.09329057617869e-06,"CCNA2","890"
"26503",-0.20490686693205,0.321852868462786,0.196607028067398,26.9162688301853,27.8240241091674,0.382374438683225,"SLC17A5","26503"
