"","human","mouse"
"235",687,16601
"237",165829,239845
"238",394,11855
"239",64091,64082
"240",1000,12558
"241",23137,226026
"242",337876,78923
"245",8722,56464
"248",5239,226041
"249",91977,170947
"250",613212,629147
"253",51164,67665
"255",1456,70425
"256",3081,15233
"257",7381,67530
"258",11177,217578
"259",10432,56275
"260",28951,217410
"261",84466,70417
"262",10577,67963
"263",582,52028
"264",2932,56637
"265",5987,19720
"266",257202,75512
"267",10063,12856
"268",246330,240518
"269",122961,74316
"270",171019,240322
"271",51522,66154
"272",51365,85031
"275",23175,14245
"276",2201,14119
"277",6647,20655
"278",80224,76826
"279",89,11474
"282",313,27052
"283",153241,225523
"284",4892,18175
"285",51015,66307
"286",338917,12677
"287",337879,16703
"288",6558,20496
"289",55696,66810
"290",51808,56698
"291",6424,20379
"292",26692,18341
"293",9413,381217
"296",83539,71367
"297",4117,17152
"298",133619,73137
"299",266743,225872
"300",7074,21844
"301",141,11544
"319",64067,27386
"320",1778,13424
"321",320,319924
"324",58533,72183
"325",79937,238680
"326",55837,66266
"328",8702,56375
"333",8715,319211
"334",3340,15531
"335",28965,225579
"336",8856,18171
"339",2395,14297
"340",30811,26559
"341",4629,17880
"342",11346,104027
"343",6736,21674
"344",8287,107868
"354",112399,112407
"355",501,110695
"356",10072,75221
"357",2298,14237
"358",57565,225266
"359",84340,320806
"360",54749,105298
"361",7020,21418
"362",254359,70605
"363",337880,16693
"364",9247,107889
"367",9973,12460
"368",7404,22290
"369",1073,12632
"370",23620,18217
"372",353345,353346
"373",11119,102639802
"374",55254,67846
"375",54820,67203
"378",55231,399599
"383",3074,15212
"384",3026,226243
"385",1735,107585
"388",9414,21873
"389",11167,14314
"390",83930,76205
"391",10412,59050
"392",5826,19300
"393",8653,26900
"394",2651,14538
"395",256691,71738
"396",4225,17288
"397",8284,20592
"400",6208,20044
"401",941,12519
"402",5527,26931
"403",9844,140580
"404",54941,67664
"405",7348,22268
"406",56246,77037
"407",285282,67657
"408",57507,269023
"409",55003,68083
"410",9472,238161
"411",65003,66419
"413",4001,16906
"414",8507,13803
"415",79836,74365
"416",55640,217721
"417",6713,20775
"418",3908,16773
"419",5458,18997
"421",286827,66949
"422",9156,26909
"423",427,11886
"424",54810,54120
"425",972,16149
"426",55269,66645
"428",134285,380863
"429",10538,53314
"430",10059,74006
"431",64180,71854
"432",6476,69983
"433",29944,245468
"434",57692,107528
"435",1452,93687
"436",3931,16816
"437",115548,218503
"438",5970,19697
