	origin	familyOrigin	homologueTaxon	symbol	aliases	diseases	diseaseCategories	name	ncbiId	commentCause	uniprot	functionalClusters	expressionChange	ensembl	methylationCorrelation
0	{'id': 24, 'phylum': '', 'age': '', 'order': 24}	{'id': 24, 'phylum': '', 'age': '', 'order': 24}	Tetrapoda	NFKB1	['CVID12', 'EBP-1', 'KBF1', 'NF-kB', 'NF-kB1', 'NF-kappa-B1', 'NF-kappaB', 'NF-kappabeta', 'NFKB-p105', 'NFKB-p50', 'NFkappaB']	{'51': {'icdCode': 'D83.0', 'icdName': 'Common variable immunodeficiency with predominant abnormalities of B-cell numbers and function', 'name': 'Immunodeficiency, common variable'}}	{'776': {'icdCode': 'D80-D89', 'icdCategoryName': 'Certain disorders involving the immune mechanism'}}	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	4790	{'2': 'Genomic, transcriptome, and proteomic associations with lifespan/age-related phenotype', '8': 'Age-related changes in gene expression/protein activity in mammals', '15': 'Gene activity modulation decreases mammalian lifespan', '17': 'Modulation of gene activity enhances age-related deterioration'}	NFKB1_HUMAN	[{'id': 19, 'name': 'senescence'}, {'id': 26, 'name': 'inflammation'}, {'id': 31, 'name': 'nervous system'}, {'id': 34, 'name': 'skin health'}, {'id': 35, 'name': 'bone health'}, {'id': 36, 'name': 'muscle health'}]	3	ENSG00000109320	
1		{'id': 24, 'phylum': '', 'age': '', 'order': 24}	Opisthokonta	HELLS	['ICF4', 'LSH', 'Nbla10143', 'PASG', 'SMARCA6']	{'148': {'icdCode': 'D84.8', 'icdName': 'Other specified immunodeficiencies', 'name': 'Immunodeficiency-centromeric instability-facial anomalies'}}	{'776': {'icdCode': 'D80-D89', 'icdCategoryName': 'Certain disorders involving the immune mechanism'}}	helicase, lymphoid-specific	3070	{'8': 'Age-related changes in gene expression/protein activity in mammals', '10': 'Gene regulates aging-related genes', '15': 'Gene activity modulation decreases mammalian lifespan', '17': 'Modulation of gene activity enhances age-related deterioration'}	HELLS_HUMAN	[{'id': 10, 'name': 'immune function'}, {'id': 15, 'name': 'epigenetic changes'}, {'id': 20, 'name': 'nucleus structure'}, {'id': 5, 'name': 'cell cycle'}, {'id': 6, 'name': 'embryonic development'}]	1	ENSG00000119969	
2		{'id': 24, 'phylum': '', 'age': '', 'order': 24}	Euteleostomi	FAS	['ALPS1A', 'APO-1', 'APT1', 'CD95', 'FAS1', 'FASTM', 'TNFRSF6']	{'160': {'icdCode': 'D47.9', 'icdName': 'Neoplasm of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue, unspecified', 'name': 'Autoimmune lymphoproliferative syndrome'}}	{'685': {'icdCode': 'D37-D48', 'icdCategoryName': 'Neoplasms of uncertain or unknown behaviour'}}	Fas cell surface death receptor	355	{'9': 'Age-related changes in gene expression/protein activity in humans'}	TNR6_HUMAN	[{'id': 10, 'name': 'immune function'}, {'id': 27, 'name': 'signaling'}, {'id': 4, 'name': 'stress response'}, {'id': 56, 'name': 'apoptosis'}, {'id': 5, 'name': 'cell cycle'}, {'id': 61, 'name': 'protein modification'}]	2	ENSG00000026103	
3		{'id': 24, 'phylum': '', 'age': '', 'order': 24}	Euteleostomi	HIC1	['ZBTB29', 'ZNF901', 'hic-1']	[]	[]	hypermethylated in cancer 1	3090	{'10': 'Gene regulates aging-related genes', '17': 'Modulation of gene activity enhances age-related deterioration'}	HIC1_HUMAN	[{'id': 27, 'name': 'signaling'}, {'id': 3, 'name': 'transcription regulation'}, {'id': 56, 'name': 'apoptosis'}, {'id': 6, 'name': 'embryonic development'}]	0	ENSG00000177374	
4		{'id': 24, 'phylum': '', 'age': '', 'order': 24}		MT-RNR1	['MTRNR1']	{'194': {'icdCode': 'H90.3', 'icdName': 'Sensorineural hearing loss, bilateral', 'name': 'Deafness, nonsyndromic sensorineural, mitochondrial'}}	{'795': {'icdCode': 'H90-H95', 'icdCategoryName': 'Other disorders of ear'}}	mitochondrially encoded 12S RNA	4549	{'2': 'Genomic, transcriptome, and proteomic associations with lifespan/age-related phenotype', '8': 'Age-related changes in gene expression/protein activity in mammals', '10': 'Gene regulates aging-related genes', '13': 'Modulation of gene activity protects against age-related impairment'}	MOTSC_HUMAN	[{'id': 11, 'name': 'mitochondrial function'}, {'id': 21, 'name': 'insulin sensitivity'}, {'id': 22, 'name': 'lipid metabolism'}, {'id': 26, 'name': 'inflammation'}, {'id': 27, 'name': 'signaling'}, {'id': 30, 'name': 'cardiovascular system'}, {'id': 3, 'name': 'transcription regulation'}, {'id': 8, 'name': 'glucose metabolism'}]	1		
5		{'id': 24, 'phylum': '', 'age': '', 'order': 24}		CAPG	['AFCP', 'HEL-S-66', 'MCP']	[]	[]	capping actin protein, gelsolin like	822	{'9': 'Age-related changes in gene expression/protein activity in humans', '13': 'Modulation of gene activity protects against age-related impairment', '14': 'Other evidence'}		[{'id': 12, 'name': 'cytoskeleton organization'}, {'id': 31, 'name': 'nervous system'}, {'id': 6, 'name': 'embryonic development'}, {'id': 7, 'name': 'cell differentiation'}]	1	ENSG00000042493	
6		{'id': 24, 'phylum': '', 'age': '', 'order': 24}		ZFYVE9	['MADHIP', 'NSP', 'PPP1R173', 'SARA', 'SMADIP']	[]	[]	zinc finger FYVE-type containing 9	9372	{'9': 'Age-related changes in gene expression/protein activity in humans', '11': 'Age-related changes in gene expression / protein activity in non-mammals', '14': 'Other evidence'}		[{'id': 14, 'name': 'transport'}, {'id': 27, 'name': 'signaling'}]	1	ENSG00000157077	
7		{'id': 24, 'phylum': '', 'age': '', 'order': 24}		MXRA8	['ASP3']	[]	[]	matrix remodeling associated 8	54587	{'2': 'Genomic, transcriptome, and proteomic associations with lifespan/age-related phenotype', '8': 'Age-related changes in gene expression/protein activity in mammals'}		[{'id': 13, 'name': 'proteostasis'}, {'id': 22, 'name': 'lipid metabolism'}, {'id': 35, 'name': 'bone health'}, {'id': 52, 'name': 'adipose tissue'}, {'id': 61, 'name': 'protein modification'}]	2	ENSG00000162576	
8		{'id': 24, 'phylum': '', 'age': '', 'order': 24}		SUGP1	['F23858', 'RBP', 'SF4']	[]	[]	SURP and G-patch domain containing 1	57794	{'2': 'Genomic, transcriptome, and proteomic associations with lifespan/age-related phenotype', '13': 'Modulation of gene activity protects against age-related impairment'}		[{'id': 22, 'name': 'lipid metabolism'}, {'id': 53, 'name': 'carcinogenesis'}, {'id': 54, 'name': 'cholesterol metabolism'}]	0	ENSG00000105705	
9		{'id': 24, 'phylum': '', 'age': '', 'order': 24}		SRSF5	['HRS', 'SFRS5', 'SRP40']	[]	[]	serine and arginine rich splicing factor 5	6430	{'4': 'Association of the gene with accelerated aging in humans'}		[]	3	ENSG00000100650	
10		{'id': 24, 'phylum': '', 'age': '', 'order': 24}		PDHB	['PDHBD', 'PDHE1-B', 'PDHE1B', 'PHE1B']	{'370': {'icdCode': 'E74.4', 'icdName': 'Disorders of pyruvate metabolism and gluconeogenesis', 'name': 'Pyruvate dehydrogenase complex deficiency'}}	{'757': {'icdCode': 'E70-E90', 'icdCategoryName': 'Metabolic disorders'}}	pyruvate dehydrogenase E1 subunit beta	5162	{'8': 'Age-related changes in gene expression/protein activity in mammals', '13': 'Modulation of gene activity protects against age-related impairment', '14': 'Other evidence'}		[{'id': 11, 'name': 'mitochondrial function'}, {'id': 27, 'name': 'signaling'}, {'id': 53, 'name': 'carcinogenesis'}, {'id': 8, 'name': 'glucose metabolism'}]	3	ENSG00000168291	
11		{'id': 24, 'phylum': '', 'age': '', 'order': 24}		TNS3	['TEM6', 'TENS1']	[]	[]	tensin 3	64759	{'2': 'Genomic, transcriptome, and proteomic associations with lifespan/age-related phenotype', '10': 'Gene regulates aging-related genes', '13': 'Modulation of gene activity protects against age-related impairment', '14': 'Other evidence'}		[{'id': 53, 'name': 'carcinogenesis'}, {'id': 5, 'name': 'cell cycle'}]	0	ENSG00000136205	
12		{'id': 24, 'phylum': '', 'age': '', 'order': 24}		DGKZ	['DAGK5', 'DAGK6', 'DGK-ZETA', 'hDGKzeta']	[]	[]	diacylglycerol kinase zeta	8525	{'2': 'Genomic, transcriptome, and proteomic associations with lifespan/age-related phenotype', '10': 'Gene regulates aging-related genes', '14': 'Other evidence'}		[{'id': 22, 'name': 'lipid metabolism'}, {'id': 25, 'name': 'oxidation/antioxidant function'}, {'id': 27, 'name': 'signaling'}, {'id': 31, 'name': 'nervous system'}, {'id': 36, 'name': 'muscle health'}, {'id': 4, 'name': 'stress response'}, {'id': 53, 'name': 'carcinogenesis'}, {'id': 5, 'name': 'cell cycle'}]	0	ENSG00000149091	
13		{'id': 24, 'phylum': '', 'age': '', 'order': 24}		FJX1	[]	[]	[]	four-jointed box kinase 1	24147	{'9': 'Age-related changes in gene expression/protein activity in humans', '13': 'Modulation of gene activity protects against age-related impairment', '14': 'Other evidence', '17': 'Modulation of gene activity enhances age-related deterioration'}		[{'id': 27, 'name': 'signaling'}, {'id': 31, 'name': 'nervous system'}, {'id': 53, 'name': 'carcinogenesis'}, {'id': 56, 'name': 'apoptosis'}, {'id': 5, 'name': 'cell cycle'}, {'id': 6, 'name': 'embryonic development'}, {'id': 7, 'name': 'cell differentiation'}]	2	ENSG00000179431	
14		{'id': 24, 'phylum': '', 'age': '', 'order': 24}		PRR5L	['PROTOR2']	[]	[]	proline rich 5 like	79899	{'2': 'Genomic, transcriptome, and proteomic associations with lifespan/age-related phenotype', '8': 'Age-related changes in gene expression/protein activity in mammals', '14': 'Other evidence'}		[{'id': 14, 'name': 'transport'}, {'id': 25, 'name': 'oxidation/antioxidant function'}, {'id': 27, 'name': 'signaling'}, {'id': 4, 'name': 'stress response'}, {'id': 61, 'name': 'protein modification'}]	0	ENSG00000135362	
