"","human","mouse"
"78",3598,16165
"82",64762,381126
"83",7739,22673
"176",115123,320253
"179",1456,70425
"180",22878,75964
"181",1830,13512
"182",1069,26370
"183",51164,67665
"184",1823,13505
"185",58533,72183
"186",79057,208748
"187",6736,21674
"188",28951,217410
"189",133619,73137
"190",8715,319211
"193",6567,20502
"194",64067,27386
"195",6558,20496
"196",9331,56386
"197",4053,16997
"198",4001,16906
"201",28965,225579
"202",3358,15560
"203",22,11306
"204",55837,66266
"205",29944,245468
"208",7404,22290
"209",1778,13424
"210",50814,18194
"211",2201,14119
"212",1824,13506
"213",9870,68497
"214",112399,112407
"217",501,110695
"218",9472,238161
"219",55237,432677
"224",1000,12558
"225",7276,22139
"226",9248,14765
"227",394,11855
"228",65983,107022
"231",8284,20592
"234",171546,104725
"235",2556,14396
"237",8653,26900
"238",1825,13507
"241",1829,13511
"242",4225,17288
"245",51015,66307
"246",1735,107585
"247",2564,14404
"248",10577,67963
"249",5527,26931
"250",80224,76826
"251",2135,58193
"252",55254,67846
"253",27341,74778
"254",55668,70373
"255",55696,66810
"256",65250,73692
"257",115708,328162
"258",201626,211948
"259",27334,78826
"260",8796,64929
"261",10206,66597
"262",5618,19116
"263",9480,225631
"264",4363,17250
"265",23514,224008
"266",51616,407786
"267",582,52028
"268",54873,114301
"269",9205,219105
"270",10253,24064
"271",2618,14450
"272",25830,29859
"273",638,12124
"274",4778,18022
"276",23175,14245
"277",51686,53814
"278",2395,14297
"279",25941,66648
"280",3839,16648
"281",730,109828
"282",26059,238988
"283",51365,85031
"284",1508,13030
"285",26150,67747
"286",3977,16880
"287",57213,66674
"288",1727,109754
"289",23759,66053
"290",10589,66556
"291",25800,106957
"292",6534,240332
"293",995,12532
"294",64837,16594
"295",9895,104859
"296",5891,26448
"297",55032,74102
"298",9578,217866
"299",546,22589
"300",9844,140580
"301",11007,240514
"302",80218,72117
"303",27349,223722
"304",11080,67035
"305",7572,59057
"306",64091,64082
"307",5145,225600
"308",55039,68260
"309",7905,13476
"310",54482,229780
"311",55213,71330
"312",63932,77644
"313",58157,64242
"314",1837,13527
"315",5318,67451
"316",6170,67248
"317",1876,50496
"318",2995,71683
"319",51550,67236
"320",81617,69008
"321",79366,50887
"322",54438,328232
"323",285282,67657
"324",26512,18130
"325",4892,18175
"326",3074,15212
"327",26286,66251
"328",11252,23970
"329",4648,17922
"330",1852,75590
"332",7412,22329
"333",22894,72662
"334",7043,21809
"335",54943,246738
"336",6751,20605
"337",274,30948
"338",4792,18035
"339",3460,15980
"340",23439,67821
"341",29114,56370
"342",1072,12631
"343",64800,77627
"344",54898,54326
"345",9610,225870
"346",8940,21976
"347",9014,21340
"348",115207,239217
"349",10432,56275
"350",26050,75409
"351",9973,12460
"352",9897,223593
"353",25809,319953
"354",55778,72805
"355",1906,13614
"356",5017,18426
"357",6591,20583
"358",23137,226026
"359",154,11555
"360",56252,56531
"361",89874,217593
"363",6208,20044
"364",1474,73720
"365",25836,71175
"366",23077,105689
"367",6014,19762
"368",3831,16593
"373",1910,13618
"374",689,218490
"375",50650,71704
"376",11041,108902
"377",5159,18596
"378",3169,15375
"379",9247,107889
"380",1521,13041
"381",6647,20655
"382",54112,64378
"383",6476,69983
"384",2589,14423
"385",23753,64136
"386",94026,195236
"387",25855,107392
"388",331,11798
"389",26257,18094
"390",55007,73225
"391",78988,67840
"392",53919,58807
"393",23483,76355
"394",26049,320557
"395",7380,22270
"396",2668,14573
"397",11236,75841
"398",5734,19219
"399",10009,56805
"400",29071,59048
"401",3920,16784
"402",9413,381217
"403",6473,434769
"404",64123,170757
"410",11235,56426
"411",4117,17152
"412",79621,67153
"413",2626,14463
"414",27330,67071
"415",1638,13190
"416",8867,104015
"417",10897,68090
"418",23583,71726
"419",7752,235907
"420",55799,12294
"422",9818,71844
"423",253190,68607
"424",4074,17113
"425",11161,58520
"426",2533,23880
"427",5230,18655
"428",6949,21453
"429",4173,17217
"430",11219,24102
"431",22818,56447
"432",8634,66368
"433",51571,223601
"434",11169,218973
"435",54552,237107
"437",6595,67155
"438",26278,50720
"439",55679,225341
"440",54762,207798
"441",23620,18217
"442",81609,76742
"443",7216,56191
"444",55922,77286
"445",814,12326
"446",6721,20788
"447",79691,106248
"448",378,11843
"449",28985,68995
"450",8853,211914
"451",4070,56753
"452",79954,217431
"453",10992,319322
"456",79038,68520
"457",4008,380928
"458",7348,22268
"459",9414,21873
"460",10257,239273
"461",8820,15209
"462",27030,217716
"463",2840,574402
"464",1152,12709
"465",84061,67075
"466",9791,19210
"467",57763,68558
"476",3071,105855
"477",3597,16164
"478",11167,14314
"479",79645,66793
"480",5411,18949
"481",3454,15975
"482",4140,17169
"483",9352,53382
"484",23133,320595
"485",79669,212998
"486",79596,72486
"487",79139,67819
"488",5456,18994
"489",2254,14180
"490",51307,66306
"491",7074,21844
"492",1602,13134
"493",10412,59050
"494",152185,212514
"495",11022,72634
"496",54810,54120
"501",55347,213012
"502",5276,67931
"503",8061,14283
"504",81545,107035
"505",7474,22418
"506",65003,66419
"507",320,319924
"508",8975,72607
"509",9692,66132
"510",9556,70257
"511",55339,74320
"512",57124,70445
"513",5205,54670
"514",83638,107242
"515",79825,58229
"516",735,12279
"517",2235,14151
"518",8487,66603
"519",1743,78920
"520",93594,210544
"523",4629,17880
"524",11177,217578
"525",56165,83561
"526",1121,12662
"527",4677,70223
"528",65005,78523
"529",590,12038
"530",81693,93835
"532",10072,75221
"533",292,11740
"534",89927,67254
"535",79983,69693
"536",50807,13196
"537",79866,77744
"538",55690,107975
"540",78991,240334
"541",4345,17470
"542",10112,19348
"552",91754,217718
"553",55779,212517
"555",3958,16854
"556",2192,14114
"557",26692,18341
"558",538,11977
"559",2245,14163
"560",9315,27528
"561",23157,56526
"562",3588,16155
"563",23357,68737
"564",64097,13824
"565",22993,106894
"566",26576,56504
"567",94104,67367
"568",8856,18171
"569",8382,75533
"571",1836,13521
"572",30008,58859
"573",80117,71619
"574",10538,53314
"575",65109,68134
"576",9875,207932
"577",54954,207375
"578",79628,225608
"579",5239,226041
"580",653784,72083
"581",9665,223989
"582",2700,14611
"583",55012,59032
"584",492,320707
"585",5594,26413
"586",4953,18263
"587",6713,20775
"588",51306,225358
"589",7286,22156
"590",10524,81601
"591",23186,217864
"592",3575,16197
"593",1629,13171
"594",7517,74335
"599",1203,211286
"600",5274,20713
"601",10215,50913
"602",22885,319713
"603",56245,74387
"604",8702,56375
"605",29780,170736
"606",972,16149
"607",153,11554
"608",9158,58249
"609",23468,12419
"610",688,12224
"611",54820,67203
"612",6748,20832
"613",8722,56464
"614",10800,58861
"615",9647,68606
"616",4285,70478
"617",30811,26559
"618",80206,225288
"619",84271,73826
"620",5562,105787
"621",51001,66410
"622",7381,67530
"623",84830,109254
"624",4694,54405
"625",1814,13490
"626",22865,386750
"627",10902,78656
"628",5591,19090
"629",6641,20649
"643",1761,50796
"644",2262,103978
"645",79879,76457
"646",3177,13340
"647",7750,76007
"648",7020,21418
"649",9452,16431
"650",8100,21821
"651",10051,70099
"652",9092,20227
"653",5207,18639
"654",3840,16649
"655",8507,13803
"656",79019,66570
"657",6445,24053
"658",23548,67515
"660",23408,68346
"661",1052,12609
"662",10971,22630
"663",640,12143
"664",51314,73412
"665",51562,217588
"667",2353,14281
"668",55034,68591
"669",23170,223723
"670",10857,53328
"671",64283,110596
"672",9753,22758
"673",2651,14538
"674",80198,71711
"675",26137,56490
"676",1436,12978
"677",26060,72993
"678",3026,226243
"680",55197,225283
"681",22846,238328
"682",91977,170947
"683",81876,76308
"684",10221,211770
"685",4700,67130
"686",5502,58200
"687",10972,68581
"688",9788,211401
"689",2815,54368
"690",64422,67841
"691",54847,320007
"692",815,12322
"693",253959,56784
"694",3360,15562
"695",3897,16728
"696",3037,15117
"697",57178,328365
"698",8706,26879
"699",6868,11491
"700",130814,217430
"701",757,77975
"702",79595,269003
"703",254359,70605
"704",2892,53623
"705",324,11789
"706",27039,53871
"707",9107,219135
"708",5465,19013
"709",1452,93687
"710",706,12257
"711",8815,23825
"712",215,11666
"713",10484,20334
"714",55640,217721
"715",10219,50928
"716",5433,69241
"717",840,12369
"718",8450,72584
"719",3595,16162
"720",10561,99899
"721",5083,18511
"722",55030,78938
"723",10063,12856
"724",687,16601
"725",8697,52563
"726",64062,74213
"727",4739,18003
"728",55026,245386
"729",6451,56726
"730",10130,71853
"731",10964,15061
"735",2954,14874
"736",5289,225326
"737",23368,21981
"738",10059,74006
"739",54069,66578
"740",8774,108123
"741",89,11474
"743",23313,223739
"744",7319,22209
"745",758,223726
"746",5970,19697
"747",2932,56637
"748",6651,20658
"749",51046,20451
"750",4045,268890
"751",2676,14587
"753",11346,104027
"762",3421,15929
"763",523,11964
"764",11189,78784
"765",11278,16597
"766",29954,217734
"769",51780,277250
"770",7127,21928
"771",56062,237010
"772",1601,13132
"773",3340,15531
"774",9180,18414
"775",221154,68514
"777",3096,110521
"778",5987,19720
"780",7080,21869
"781",2222,14137
"782",5228,18654
"783",55615,109270
"784",25813,68653
"785",55269,66645
"786",3178,15382
"787",51084,68631
"788",5365,140571
"789",9687,268527
"790",81602,71891
"793",11119,102639802
"794",29799,106369
"795",5737,19220
"796",56683,68001
"797",10746,26405
"798",4711,66046
"799",9946,66609
"800",79740,213234
"801",85352,72301
"802",6507,20512
"803",8395,18719
"804",90121,69499
"805",3455,15976
"806",23335,104082
"807",11166,223227
"808",3241,53602
"809",10982,212307
"810",5687,26443
"811",3081,15233
"812",10464,52023
"813",5153,18574
"814",141,11544
"815",178,77559
"816",313,27052
"817",7436,22359
"818",4668,17939
"819",23189,107351
"820",56983,224143
"821",10134,27061
"822",63895,667742
"823",8556,229776
"824",7336,70620
"825",79836,74365
"826",9631,170762
"827",53947,239559
"828",212,11656
"830",3754,382571
"831",55100,545085
"832",221692,218194
"833",9475,19878
"834",79696,72350
"836",1044,12590
"837",7552,245595
"838",9529,70369
"839",27301,77622
"840",633,12111
"841",10279,54373
"842",23443,229782
"843",8892,217715
"844",6535,102857
"845",10762,18141
"846",114,11514
"847",55559,73738
"848",3592,16159
"849",3320,15519
"850",51068,97112
"851",55003,68083
"852",139322,68117
"853",55088,213993
"854",10916,80884
"855",2596,14432
"856",7187,22031
"857",9882,210789
"858",2103,26380
"859",941,12519
"860",64328,57258
"861",22863,100504663
"862",27190,56069
"863",22882,387609
"864",29083,66067
"865",3678,16402
"866",4609,17869
"867",23272,218850
"868",6424,20379
"869",29980,60364
"870",57466,224432
"871",91137,67453
"872",9787,218977
"873",80339,116939
"874",57408,319476
"875",2846,78134
"876",51555,58869
"877",51067,70120
"878",2071,13872
"879",1399,12929
"880",2246,14164
"881",10226,66905
"882",10162,14792
"883",51309,78248
"884",11037,77057
"885",23221,246710
"886",7434,22355
"887",3654,16179
"888",54798,100534287
"889",9585,240641
"890",6560,20498
"891",79598,74201
"892",873,12408
"893",4543,17773
"894",5884,19356
"895",1506,109660
"896",10818,327826
"897",4337,56738
"898",57379,11628
"899",3931,16816
"900",55353,114128
"901",3895,16709
"902",55757,66435
"903",7260,380752
"904",8654,242202
"905",2244,110135
"906",6819,69083
"907",203069,71843
"908",81577,70575
"909",114899,81799
"910",63971,16553
"911",51337,223626
"912",7704,235320
"913",65057,497652
"914",8477,14744
"915",10060,20928
"916",10007,26384
"917",79005,69269
"918",54221,268534
"922",3375,15874
"923",7844,22644
"924",3550,24010
"925",51199,18080
"926",4072,17075
"927",2983,54195
"928",181,11604
"929",50852,77647
"930",2869,14773
"931",148022,106759
"932",6891,21355
"933",9980,70028
"934",56034,54635
"935",6310,20238
"936",5108,18536
"937",64102,64103
"938",1730,54004
"941",29927,53421
"942",51586,94112
"943",10311,13185
"944",54532,99526
"945",2838,71223
"946",6400,20338
"947",10016,18570
"948",3842,238799
"949",7173,22018
"950",8841,15183
"951",80305,67976
"952",6571,214084
"953",55893,380912
"954",56302,194352
"955",27161,239528
"956",51520,107045
"957",27109,68055
"958",5592,19091
"959",23600,17117
"962",81688,79555
"963",3028,15108
"964",58497,229589
"965",10664,13018
"966",55508,215436
"967",5253,18676
"968",7915,214579
"969",80178,72016
"970",26047,66797
"971",29777,30946
"972",55751,234463
"973",56114,93709
"974",55124,57746
"975",65258,225651
"976",84861,224023
"977",9369,18191
"978",4482,110265
"979",140801,238217
"980",4952,320634
"981",3400,15904
"982",8874,54126
"983",2041,13835
"984",527,11984
"985",8581,17068
"986",9088,268930
"987",5876,19352
"988",54964,229588
"989",22934,19895
"990",3720,16468
"991",26959,73389
"992",8242,20591
"993",50939,224224
"994",10026,329777
"995",51151,22293
"996",55756,210925
"997",695,12229
"999",9227,79235
"1000",9080,56863
"1001",1266,71994
